"","metabolite","compound_class","refined_origin","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","total_ubiquity","ubiquity_diff"
"1","x39975_976_83346_16_206","Unknown","Both",0.11217201,0.00480323365897838,96.0280373831776,4.41176470588235,73.4154929577465,91.6162726772953
"2","x39055_948_80202_15_826","TAG","Both",0.10418063,0.00698051213296876,96.4953271028037,9.55882352941176,75,86.9365035733919
"3","x15256_518_49365_7_407","Ceramides","Host",0.07955348,0.00722493405135378,100,45.5882352941176,86.6197183098592,54.4117647058824
"4","x39541_932_80618_16_033","MADAG","Host",0.044424374,0.0065631092870717,91.8224299065421,3.67647058823529,70.0704225352113,88.1459593183068
"5","x40448_910_82144_16_435","MADAG","Host",0.03891233,0.00817260298330554,93.2242990654206,2.20588235294118,70.7746478873239,91.0184167124794
"6","x39264_974_81744_15_901","TAG","Both",0.02040463,0.00845684209094558,99.5327102803738,21.3235294117647,80.1056338028169,78.2091808686091
"7","x26336_604_56644_12_314","Ceramides","Host",0.019206434,0.00185613384276274,100,77.9411764705882,94.5422535211268,22.0588235294118
"8","x38809_870_75649_15_74","TAG","Both",0.0152834635,0.00459982687751086,99.0654205607477,54.4117647058823,88.2042253521127,44.6536558548654
"9","x37944_820_73708_15_311","TAG","Both",0.010271337,0.00131719040182442,94.392523364486,12.5,74.1197183098592,81.892523364486
"10","x32551_534_56198_13_781","Unknown","Both",0.007456639,0.00393130360685231,98.1308411214953,31.6176470588235,82.0422535211268,66.5131940626718
"11","x39995_882_7922_16_226","Unknown","Both",0.0050487113,0.00520738335699523,91.3551401869159,2.94117647058824,69.5422535211268,88.4139637163277
"12","x21706_518_49399_10_315","Ceramides","Host",0.0049213734,0.00548170818423324,99.7663551401869,52.2058823529412,88.2042253521127,47.5604727872457
"13","x29030_614_5872_12_997","Ceramides","Host",0.003692907,0.00427607556784766,98.8317757009346,34.5588235294118,83.2746478873239,64.2729521715228
"14","x37719_944_77041_15_287","TAG","Symbiont",0.0030896764,0.00439293762151564,98.3644859813084,17.6470588235294,78.3450704225352,80.717427157779
"15","x36514_468_51389_14_901","Unknown","Both",0.0013775693,0.00223842969498776,98.1308411214953,100,98.5915492957747,-1.86915887850471
"16","x27982_604_56684_12_699","Ceramides","Host",0,0.00105602201154742,99.2990654205608,76.4705882352941,93.6619718309859,22.8284771852667
"17","x30506_632_59866_13_341","Ceramides","Host",0,0.00101120394481322,99.5327102803738,78.6764705882353,94.5422535211268,20.8562396921385
"18","x38259_898_78379_15_478","Unknown","Both",0,0.00179629562235231,99.0654205607477,82.3529411764706,94.8943661971831,16.7124793842771
"19","x31750_634_61382_13_623","Ceramides","Host",0,0.00147399261138957,99.0654205607477,74.2647058823529,93.1338028169014,24.8007146783948
