"","metabolite","pepmass","RT","fatty_acid","feature_id","compound_class","compound_name","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","coraldb_compound_name","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","total_ubiquity","is_super_core","ubiquity_diff"
"1","x37644_766_69228_15_242",766.69228,15.242,"12:0",37644,"Triacylglycerols","TAG(14:0/14:0/16:1) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/16:1) [M+NH4]+",0,0.000430579849576019,81.0747663551402,0,61.0915492957746,FALSE,81.0747663551402
"2","x38867_768_70791_15_73",768.70791,15.73,"12:0",38867,"Triacylglycerols","TAG(14:0/14:0/16:0) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/16:0) [M+NH4]+",0,0.000345850680153264,81.0747663551402,0,61.0915492957746,FALSE,81.0747663551402
"3","x37681_740_67655_15_252",740.67655,15.252,"12:0",37681,"Triacylglycerols","TAG(14:0/14:0/14:0) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/14:0) [M+NH4]+",0,0.00048843083961443,80.8411214953271,0,60.9154929577465,FALSE,80.8411214953271
"4","x36387_764_67681_14_807",764.67681,14.807,"12:0",36387,"Triacylglycerols","TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+",0,0,79.6728971962617,0,60.0352112676056,FALSE,79.6728971962617
"5","x36195_738_66123_14_743",738.66123,14.743,"12:0",36195,"Triacylglycerols","TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+",0,4.23613659467184e-05,80.607476635514,0.735294117647059,60.9154929577465,FALSE,79.8721825178669
"6","x36153_766_69146_14_734",766.69146,14.734,"12:0",36153,"Triacylglycerols","TAG(14:0/14:0/16:1) [M+NH4]+","C43H87N7O4","[M + H]+","C43H87N7O4","Fatty acids",0.872270047664642,"Unknown",0.198837473988533,"Unknown",0.067460685968399,"Unknown",0.541212737560272,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/16:1) [M+NH4]+",0,1.05294137185081e-05,98.1308411214953,96.3235294117647,97.7112676056338,FALSE,1.8073117097306
"7","x36211_712_64567_14_744",712.64567,14.744,"12:0",36211,"Triacylglycerols","TAG(12:0/14:0/14:0) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(12:0/14:0/14:0) [M+NH4]+",0,0.000345252226906073,79.4392523364486,0,59.8591549295775,FALSE,79.4392523364486
"8","x36173_740_67585_14_735",740.67585,14.735,"12:0",36173,"Triacylglycerols","TAG(14:0/14:0/14:0) [M+NH4]+",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,"Glycerolipid","Triacylglycerols","Triacylglycerols","TAG(14:0/14:0/14:0) [M+NH4]+",0,0,98.3644859813084,97.7941176470588,98.0633802816901,FALSE,0.570368334249608
"9","x7702_375_30469_4_456",375.30469,4.456,"12:0",7702,"Unknown",NA,"C28H38","[M + H]+","C28H38","Terpenoids",0.982108175754547,"Unknown",0.149567142128944,"Unknown",0.0642652660608292,"Unknown",0.559613525867462,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,88.3177570093458,76.4705882352941,85.387323943662,FALSE,11.8471687740517
"10","x3477_424_31823_3_083",424.31823,3.083,"12:0",3477,"Unknown","dopamine-C20:3","C21H38FN7O","[M + H]+","C21H38FN7O","Alkaloids",0.999312520027161,"Unknown",0.461551398038864,"Unknown",0.189472079277039,"Unknown",0.628927171230316,0.852216,4.24335,"dopamine-C20:3","Phenols","Benzenediols",NA,NA,NA,NA,0,0,47.6635514018692,66.1764705882353,52.4647887323944,FALSE,-18.5129191863661
