metabolite,pepmass,RT,fatty_acid,feature_id,compound_class,compound_name,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,coraldb_compound_name
x37644_766_69228_15_242,766.69228,15.242,12:0,37644,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+
x38867_768_70791_15_73,768.70791,15.73,12:0,38867,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:0) [M+NH4]+
x37681_740_67655_15_252,740.67655,15.252,12:0,37681,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+
x36387_764_67681_14_807,764.67681,14.807,12:0,36387,Triacylglycerols,TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:2) / (12:0/16:0/16:2) [M+NH4]+
x36195_738_66123_14_743,738.66123,14.743,12:0,36195,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+
x36153_766_69146_14_734,766.69146,14.734,12:0,36153,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+,C43H87N7O4,[M + H]+,C43H87N7O4,Fatty acids,0.8722700476646423,Unknown,0.19883747398853305,Unknown,0.06746068596839905,Unknown,0.5412127375602722,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/16:1) [M+NH4]+
x36211_712_64567_14_744,712.64567,14.744,12:0,36211,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+
x36173_740_67585_14_735,740.67585,14.735,12:0,36173,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(14:0/14:0/14:0) [M+NH4]+
x7702_375_30469_4_456,375.30469,4.456,12:0,7702,Unknown,NA,C28H38,[M + H]+,C28H38,Terpenoids,0.9821081757545472,Unknown,0.1495671421289444,Unknown,0.06426526606082916,Unknown,0.5596135258674622,NA,NA,NA,NA,NA,NA,NA,NA,NA
x3477_424_31823_3_083,424.31823,3.083,12:0,3477,Unknown,dopamine-C20:3,C21H38FN7O,[M + H]+,C21H38FN7O,Alkaloids,0.9993125200271606,Unknown,0.46155139803886414,Unknown,0.18947207927703855,Unknown,0.6289271712303162,0.852216,4.24335,dopamine-C20:3,Phenols,Benzenediols,NA,NA,NA,NA
x7638_393_31577_4_444,393.31577,4.444,12:0,7638,Unknown,NA,C28H40O,[M + H]+,C28H40O,Terpenoids,0.996123731136322,Apocarotenoids,0.8782839179039001,Unknown,0.6753665804862976,Unknown,0.5617620348930359,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34276_710_6297_14_209,710.6297,14.209,12:0,34276,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x6773_399_32585_4_17,399.32585,4.17,12:0,6773,Unknown,NA,C27H42O2,[M + H]+,C27H42O2,Terpenoids,0.9997370839118958,Steroids,0.9646399021148682,Unknown,0.4968512654304504,Unknown,0.7020830512046814,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34428_712_64537_14_245,712.64537,14.245,12:0,34428,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/14:0) [M+NH4]+
x1318_354_2638_1_564,354.2638,1.564,12:0,1318,Unknown,NA,C20H35NO4,[M + H]+,C20H35NO4,Unknown,0.7593711614608765,Unknown,0.8405784964561462,Unknown,0.2358853667974472,Unknown,0.7592741250991821,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7706_377_3207_4_435,377.3207,4.435,12:0,7706,Unknown,NA,C28H40,[M + H]+,C28H40,Terpenoids,0.9981268048286438,Unknown,0.10298336297273636,Unknown,0.02455445937812328,Prenol lipids,0.94966858625412,NA,NA,NA,NA,NA,NA,NA,NA,NA
x34568_738_66107_14_276,738.66107,14.276,12:0,34568,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,Glycerolipid,Triacylglycerols,Triacylglycerols,TAG(12:0/14:0/16:1) / TAG(12:0/14:1/16:0) / TAG(10:0/16:0/16:1) [M+NH4]+
