"","X.1","X","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name","display_class","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","pepmass.x","RT","fatty_acid","compound_name","pepmass.y","LipidClass","total_ubiquity"
"1",1,1,"x19344_800_60417_9_097",19344,"Diacylglyceryl-carboxyhydroxymethylcholines","C46H83NO8","[M + Na]+","C46H83NO8","Fatty acids",0.974953949451446,"Unknown",0.148637712001801,"Unknown",0.11446613073349,"Unknown",0.504600942134857,NA,NA,NA,NA,NA,0.971896,0.762364,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",800.603569,"Niarox",75689,"Symbiont","DGCC","DGCC(16:0/22:6) [M+H]+","DGCC",0,0.000135086131860972,100,92.6470588235294,NA,NA,NA,NA,NA,NA,98.0633802816901
"2",2,2,"x3156_482_36064_2_937",3156,"Phosphatidylglycerocholines","C24H52NO6P","[M + H]+","C24H52NO6P","Fatty acids",0.999980807304382,"Glycerophospholipids",0.999315619468689,"Glycerophosphocholines",0.997665047645569,"Glycerophosphocholines",0.957442760467529,0.931122,1.26534,"Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",0.994773,0.189801,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",482.36047,"Niarox",30246,"Host","Lyso-PC(alkyl)","Lyso-PC(O-16:0) [M+H]+","Other",0.0021115916,0,100,93.3823529411765,NA,NA,NA,NA,482.3606,"PC",98.4154929577465
"3",3,3,"x19279_643_51751_9_054",19279,"Ceramide aminoethylphosphonates","C38H66N4O4","[M + H]+","C38H66N4O4","Fatty acids",0.989674389362335,"Sphingolipids",0.990752100944519,"Ceramides",0.976433336734772,"Unknown",0.502224445343018,NA,NA,NA,NA,NA,0.878557,0.379385,"Phosphoshingolipids","Ceramide aminoethylphosphonates","CAEP",643.5173,"KARP",122777,"Host","CAEP","CAEP(34:2;O2) [M+H]+","Other",0.002972746,0,100,82.3529411764706,NA,NA,NA,NA,NA,NA,95.5985915492958
"4",4,4,"x6124_510_39212_3_959",6124,"Phosphatidylglycerocholines","C26H56NO6P","[M + H]+","C26H56NO6P","Fatty acids",0.999984383583069,"Glycerophospholipids",0.999425530433655,"Glycerophosphocholines",0.997995853424072,"Glycerophosphocholines",0.950486838817596,0.935098,2.15253,"Spectral Match to Lyso-PAF C-18 from NIST14","N/A","N/A",0.995258,0.538132,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",510.39187,"Niarox",40924,"Host","Lyso-PC(alkyl)","Lyso-PC(O-18:0) [M+H]+","Other",0,0,100,99.2647058823529,NA,NA,NA,NA,510.3921,"PC",99.8239436619718
"5",5,5,"x1935_553_33175_1_992",1935,"Carotenoids (C40)","C37H44O4","[M + H]+","C37H44O4","Terpenoids",0.996590733528137,"Carotenoids (C40)",0.999058067798614,"Carotenoids (C40, Î²-Î²)",0.977711260318756,"Unknown",0.55423504114151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids",NA,"Carotenoids",0,0,98.1308411214953,59.5588235294118,NA,NA,NA,NA,NA,NA,88.7323943661972
"6",6,6,"x29061_872_57546_12_975",29061,"Oligopeptides","C43H73N11O8","[M + H]+","C43H73N11O8","Amino acids and Peptides",0.98906135559082,"Oligopeptides",0.933528959751129,"Unknown",0.617409825325012,"Unknown",0.684743046760559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,99.5327102803738,88.9705882352941,NA,NA,NA,NA,NA,NA,97.0070422535211
"7",7,7,"x25808_746_60638_12_152",25808,"Glycerophospholipids","C42H84NO7P","[M + H]+","C42H84NO7P","Fatty acids",0.999928832054138,"Glycerophospholipids",0.998039543628693,"Glycerophosphocholines",0.999464809894562,"1-alkyl,2-acylglycero-3-phosphocholines",0.886991441249847,0.916826,5.88604,"Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Both","Glycerophosphocholines",NA,"Glycerophosphocholines",0,3.62655484621534e-05,98.8317757009346,95.5882352941177,NA,NA,NA,NA,746.6064,"PC",97.887323943662
"8",8,8,"x26021_752_55957_12_218",26021,"Phosphatidylglyceroethanolamines","C45H73N3O6","[M + H]+","C45H73N3O6","Unknown",0.72005707025528,"Unknown",0.227148041129112,"Unknown",0.131923899054527,"Unknown",0.765769064426422,NA,NA,NA,NA,NA,0.914936,0.892138,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",752.5589,"Niarox",90262,"Host","PE (mono-alkyl-mono-acyl)","PE(O-38:5) [M+H]+","Other",0.0018198426,0.000426020019277933,99.7663551401869,66.1764705882353,NA,NA,NA,NA,NA,NA,91.5492957746479
"9",9,9,"x7916_298_31064_4_523",7916,"Unknown","C19H39NO","[M + H]+","C19H39NO","Unknown",0.537106156349182,"Unknown",0.4488924741745,"Unknown",0.379709929227829,"Unknown",0.639891147613525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,100,100,NA,NA,NA,NA,NA,NA,100
"10",10,10,"x14914_354_37285_7_258",14914,"Unknown","C23H47NO","[M + H]+","C23H47NO","Unknown",0.71802693605423,"Unknown",0.605586469173431,"Unknown",0.358005464076996,"Unknown",0.647340655326843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,6.22035543533187e-06,99.2990654205608,99.2647058823529,354.37285,7.258,"O-18:0",NA,NA,NA,99.2957746478873
