metabolite,feature_id,compound_superclass,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_cosine_score,coraldb_mz_error_ppm,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,exact_mass,database,clusterIndex,refined_origin,compound_class,coraldb_compound_name
x19344_800_60417_9_097,19344,Diacylglyceryl-carboxyhydroxymethylcholines,C46H83NO8,[M + Na]+,C46H83NO8,Fatty acids,0.9749539494514464,Unknown,0.14863771200180054,Unknown,0.11446613073349,Unknown,0.5046009421348572,NA,NA,NA,NA,NA,0.971896,0.762364,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,DGCC,800.603569,Niarox,75689,Symbiont,DGCC,DGCC(16:0/22:6) [M+H]+
x3156_482_36064_2_937,3156,Phosphatidylglycerocholines,C24H52NO6P,[M + H]+,C24H52NO6P,Fatty acids,0.9999808073043824,Glycerophospholipids,0.999315619468689,Glycerophosphocholines,0.9976650476455688,Glycerophosphocholines,0.9574427604675292,0.931122,1.26534,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,Glycerophospholipids,Glycerophosphocholines,0.994773,0.189801,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(alkyl),482.36047,Niarox,30246,Host,Lyso-PC(alkyl),Lyso-PC(O-16:0) [M+H]+
x19279_643_51751_9_054,19279,Ceramide aminoethylphosphonates,C38H66N4O4,[M + H]+,C38H66N4O4,Fatty acids,0.9896743893623352,Sphingolipids,0.990752100944519,Ceramides,0.9764333367347716,Unknown,0.5022244453430176,NA,NA,NA,NA,NA,0.878557,0.37938499999999997,Phosphoshingolipids,Ceramide aminoethylphosphonates,CAEP,643.5173,KARP,122777,Host,CAEP,CAEP(34:2;O2) [M+H]+
x6124_510_39212_3_959,6124,Phosphatidylglycerocholines,C26H56NO6P,[M + H]+,C26H56NO6P,Fatty acids,0.9999843835830688,Glycerophospholipids,0.9994255304336548,Glycerophosphocholines,0.9979958534240724,Glycerophosphocholines,0.9504868388175964,0.935098,2.15253,Spectral Match to Lyso-PAF C-18 from NIST14,N/A,N/A,0.995258,0.538132,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(alkyl),510.39187,Niarox,40924,Host,Lyso-PC(alkyl),Lyso-PC(O-18:0) [M+H]+
x1935_553_33175_1_992,1935,Carotenoids (C40),C37H44O4,[M + H]+,C37H44O4,Terpenoids,0.9965907335281372,Carotenoids (C40),0.9990580677986144,"Carotenoids (C40, Î²-Î²)",0.977711260318756,Unknown,0.55423504114151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,"Carotenoids (C40, Î²-Î²)",NA
x29061_872_57546_12_975,29061,Oligopeptides,C43H73N11O8,[M + H]+,C43H73N11O8,Amino acids and Peptides,0.9890613555908204,Oligopeptides,0.9335289597511292,Unknown,0.6174098253250122,Unknown,0.6847430467605591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x25808_746_60638_12_152,25808,Glycerophospholipids,C42H84NO7P,[M + H]+,C42H84NO7P,Fatty acids,0.9999288320541382,Glycerophospholipids,0.9980395436286926,Glycerophosphocholines,0.9994648098945618,"1-alkyl,2-acylglycero-3-phosphocholines",0.8869914412498474,0.916826,5.88604,Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,Both,Glycerophosphocholines,NA
x26021_752_55957_12_218,26021,Phosphatidylglyceroethanolamines,C45H73N3O6,[M + H]+,C45H73N3O6,Unknown,0.7200570702552795,Unknown,0.22714804112911224,Unknown,0.13192389905452728,Unknown,0.7657690644264221,NA,NA,NA,NA,NA,0.914936,0.892138,Phospholipid,Phosphatidylglyceroethanolamines,PE (mono-alkyl-mono-acyl),752.5589,Niarox,90262,Host,PE (mono-alkyl-mono-acyl),PE(O-38:5) [M+H]+
x7916_298_31064_4_523,7916,Unknown,C19H39NO,[M + H]+,C19H39NO,Unknown,0.5371061563491821,Unknown,0.4488924741744995,Unknown,0.379709929227829,Unknown,0.6398911476135254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x14914_354_37285_7_258,14914,Unknown,C23H47NO,[M + H]+,C23H47NO,Unknown,0.7180269360542297,Unknown,0.6055864691734314,Unknown,0.35800546407699585,Unknown,0.6473406553268433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x39288_846_75538_15_912,39288,Triacylglycerols,C51H101NO6,[M + Na]+,C51H101NO6,Fatty acids,0.9998013377189636,Glycerolipids,0.9912105798721312,Triacylglycerols,0.9966957569122314,Unknown,0.6698206067085266,NA,NA,NA,NA,NA,0.882622,2.01828,Glycerolipid,Triacylglycerols,Triacylglycerols,846.75367,Niarox,115847,Both,Triacylglycerols,TAG(16:0/16:0/18:3) [M+NH4]+
x2457_496_33999_2_452,2457,Phosphatidylglycerocholines,C24H50NO7P,[M + H]+,C24H50NO7P,Fatty acids,0.9978927969932556,Glycerophospholipids,0.9998847246170044,Glycerophosphocholines,0.9974491000175476,1-acyl-sn-glycero-3-phosphocholines,0.9290048480033876,0.953221,0,1-Palmitoylglycerophosphocholine,Glycerophospholipids,Glycerophosphocholines,0.989371,0.368912,Phospholipid,Phosphatidylglycerocholines,Lyso-PC(acyl),496.339735,Niarox,25015,Both,Lyso-PC(acyl),Lyso-PC(16:0) [M+H]+
