feature_id,pepmass,LipidClass,compound_class,coraldb_compound_name
22863,768.5908,PC,Unknown,PC(O-16:0/20:4) [M+H]+
25770,796.6222,PC,Unknown,PC(O-18:0/20:4) [M+H]+
3156,482.3606,PC,Lyso-PC(alkyl),Lyso-PC(O-16:0) [M+H]+
20449,766.5752,PC,Unknown,PC(O-36:5) [M+H]+
6124,510.3921,PC,Lyso-PC(alkyl),Lyso-PC(O-18:0) [M+H]+
23789,794.6065,PC,Unknown,PC(O-18:1/20:4) [M+H]+
22902,794.605,PC,Unknown,PC(O-18:1/20:4) [M+H]+
24987,796.6222,PC,Unknown,PC(O-18:0/20:4) [M+H]+
21844,792.591,PC,Unknown,PC(O-38:6) [M+H]+
25808,746.6064,PC,Glycerophosphocholines,PC(O-34:1) [M+H]+
24253,770.6064,PC,Unknown,PC(O-16:0/20:3) [M+H]+
2457,496.34,PC,Lyso-PC(acyl),Lyso-PC(16:0) [M+H]+
4782,524.3715,PC,Lyso-PC(acyl),Lyso-PC(18:0) [M+H]+
21652,742.5758,PC,Unknown,PC(O-34:3) [M+H]+
19879,806.5703,PC,Unknown,PC(16:0/22:6) [M+H]+
25995,838.6323,PC,Unknown,PC(40:4) [M+H]+
20887,782.5699,PC,Glycerophosphocholines,PC(36:4) / PC(O-36:5;O) [M+H]+
23464,744.591,PC,Unknown,PC(O-34:2) [M+H]+
26056,772.6218,PC,Unknown,PC(O-36:2) [M+H]+
23284,810.6013,PC,Unknown,PC(38:4) / PC(38:5;O) [M+H]+
20945,808.5851,PC,Unknown,PC(38:5) [M+H]+
25734,822.6362,PC,Unknown,PC(O-18:0/22:5) [M+H]+
24084,760.5857,PC,Unknown,PC(34:1) [M+H]+
19613,756.5545,PC,Unknown,PC(34:3) [M+H]+
28396,774.6379,PC,Unknown,PC(O-18:0/18:1) [M+H]+
24157,836.6165,PC,Unknown,PC(O-18:0/22:5) [M+H]+
24123,810.6008,PC,Unknown,PC(38:4) / PC(38:5;O) [M+H]+
27095,798.6385,PC,Unknown,PC(O-18:0/20:3) [M+H]+
27743,798.6451,PC,Phosphosphingolipids,PC(O-18:0/20:3) [M+H]+
27615,824.6541,PC,Unknown,PC(O-20:0/20:4) [M+H]+
24838,770.6077,PC,Unknown,PC(O-16:0/20:3) [M+H]+
28291,824.6539,PC,Unknown,PC(O-20:0/20:4) [M+H]+
24892,820.6207,PC,Unknown,PC(O-18:0/22:6) [M+H]+
22869,771.5978,PC,Unknown,NA
21530,758.57,PC,Glycerophosphocholines,PC(34:2) [M+H]+
18452,780.5542,PC,Glycerophosphocholines,PC(36:5) [M+H]+
24359,782.6066,PC,Glycerophosphocholines,PC(O-37:4) [M+H]+
19262,740.5591,PC,Unknown,PC(O-34:4) [M+H]+
23241,834.6009,PC,Unknown,PC(40:6) [M+H]+
26753,788.6173,PC,Unknown,PC(36:1) [M+H]+
26910,799.6408,PC,Unknown,SM(40:3;O3) [M+H]+
24344,786.6008,PC,Unknown,PC(36:2) [M+H]+
22416,784.586,PC,Glycerophosphocholines,PC(36:3) / PC(O-36:4;O) [M+H]+
9373,538.424,PC,Lyso-PC(alkyl),Lyso-PC(O-20:0) [M+H]+
20567,890.4567,PC,Unknown,NA
22065,808.5852,PC,Unknown,PC(16:0/22:5) [M+H]+
26412,822.6389,PC,Unknown,PC(O-18:0/22:5) [M+H]+
25766,799.6293,PC,Glycerophosphocholines,SM(40:3;O3) [M+H]+
4496,496.3764,PC,Lyso-PC(alkyl),Lyso-PC(O-17:0) [M+H]+
22037,768.5913,PC,Glycerophosphocholines,PC(O-16:0/20:4) [M+H]+
3153,963.7133,PC,Glycerophosphocholines,NA
11249,814.5446,PC,Neutral glycosphingolipids,NA
23073,784.5852,PC,Glycerophosphocholines,PC(36:3) / PC(O-36:4;O) [M+H]+
25393,812.6174,PC,Unknown,PC(38:3) / PC(38:4;O) [M+H]+
19452,766.5755,PC,Unknown,PC(O-36:5) [M+H]+
23416,924.4443,PC,Unknown,NA
1430,568.3397,PC,Lyso-PC(acyl),Lyso-PC(22:6) [M+H]+
25672,720.5906,PC,Glycerophosphocholines,PC(O-32:0) [M+H]+
16835,754.5384,PC,Unknown,PC(34:4) [M+H]+
25626,794.6061,PC,Unknown,PC(O-18:1/20:4) [M+H]+
26368,786.6361,PC,Glycerophosphocholines,PC(O-37:2) [M+H]+
14979,878.5697,PC,Unknown,PC(22:6/22:6) [M+H]+
27019,814.6333,PC,Unknown,PC(38:2) [M+H]+
20835,766.5751,PC,Unknown,PC(O-36:5) [M+H]+
29222,814.6681,PC,Glycerophosphocholines,NA
26171,798.6338,PC,Unknown,PC(O-18:0/20:3) [M+H]+
23949,734.5696,PC,Unknown,PC(32:0) [M+H]+
27012,810.6391,PC,Unknown,PC(O-39:4) [M+H]+
24752,732.5909,PC,Glycerophosphocholines,PC(O-33:1) [M+H]+
19863,894.4489,PC,Unknown,NA
15781,798.589,PC,DGCC,DGCC(38:7) [M+H]+
20464,769.5826,PC,Phosphosphingolipids,NA
8001,552.4031,PC,Lyso-PC(acyl),Lyso-PC(20:0) [M+H]+
20849,732.5534,PC,Glycerophosphocholines,PC(32:1) [M+H]+
28832,800.6534,PC,Glycerophosphocholines,PC(O-38:2) [M+H]+
7773,524.4078,PC,Lyso-PC(alkyl),Lyso-PC(O-19:0) [M+H]+
24951,818.6027,PC,Unknown,PC(O-36:3;O3) [M+H]+
3523,508.3764,PC,Lyso-PC(alkyl),Lyso-PC(O-18:1) [M+H]+
22872,718.5757,PC,Glycerophosphocholines,PC(O-32:1) [M+H]+
24094,744.5907,PC,Unknown,PC(O-34:2) [M+H]+
25471,770.6136,PC,Neutral glycosphingolipids,PC(O-16:0/20:3) [M+H]+
22629,692.5604,PC,Glycerophosphocholines,PC(O-30:0) [M+H]+
17609,790.5744,PC,Unknown,PC(O-38:7) [M+H]+
26641,796.5828,PC,Glycerophosphocholines,NA
23742,820.6208,PC,Unknown,PC(O-18:0/22:6) [M+H]+
23381,768.5909,PC,Unknown,PC(O-16:0/20:4) [M+H]+
27936,800.6522,PC,Unknown,PC(O-38:2) [M+H]+
6113,1019.7758,PC,Unknown,NA
12813,1183.9349,PC,Unknown,NA
28313,748.6206,PC,Glycerophosphocholines,PC(O-34:0) [M+H]+
5118,628.2418,PC,Unknown,NA
2750,522.3562,PC,Lyso-PC(acyl),Lyso-PC(18:1) [M+H]+
26267,808.6195,PC,Unknown,PC(O-39:5) [M+H]+
20278,792.5896,PC,Unknown,PC(O-38:6) [M+H]+
4177,524.3721,PC,Lyso-PC(acyl),Lyso-PC(18:0) [M+H]+
24311,773.6137,PC,Unknown,NA
22336,766.5749,PC,Unknown,PC(O-36:5) [M+H]+
2173,496.3403,PC,Lyso-PC(acyl),Lyso-PC(16:0) [M+H]+
22303,780.5908,PC,Glycerophosphocholines,PC(O-37:5) [M+H]+
28474,866.665,PC,Unknown,PC(42:4) [M+H]+
26806,772.623,PC,Glycerophosphocholines,PC(O-36:2) [M+H]+
24948,799.6297,PC,Glycerophosphocholines,SM(40:3;O3) [M+H]+
19935,782.5693,PC,Glycerophosphocholines,PC(36:4) / PC(O-36:5;O) [M+H]+
1649,544.3403,PC,Lyso-PC(acyl),Lyso-PC(20:4) [M+H]+
26729,864.6478,PC,Glycerophosphocholines,PC(42:5) [M+H]+
25126,808.623,PC,Glycerophosphocholines,PC(O-39:5) [M+H]+
27488,760.6228,PC,Glycerophosphocholines,PC(O-35:1) [M+H]+
22052,834.6012,PC,Unknown,PC(40:6) [M+H]+
19525,794.5746,PC,Unknown,PC(37:5) [M+H]+
21966,795.5986,PC,Unknown,NA
28244,850.6693,PC,Unknown,PC(O-42:5) [M+H]+
5030,550.3872,PC,Lyso-PC(acyl),Lyso-PC(20:1) [M+H]+
23368,794.6066,PC,Glycerophosphocholines,PC(O-18:1/20:4) [M+H]+
27851,840.6487,PC,Unknown,PC(40:3) [M+H]+
26749,838.6317,PC,Unknown,PC(40:4) [M+H]+
7615,664.4925,PC,Glycerophosphocholines,NA
26200,810.6378,PC,Unknown,PC(O-39:4) [M+H]+
1853,570.3565,PC,Lyso-PC(acyl),Lyso-PC(22:5) [M+H]+
21528,794.569,PC,Unknown,PC(37:5) [M+H]+
15607,784.5859,PC,Unknown,PC(36:3) / PC(O-36:4;O) [M+H]+
29070,816.6485,PC,Unknown,PC(38:1) [M+H]+
16962,812.5531,PC,Glycerophosphocholines,NA
6315,538.3871,PC,Lyso-PC(acyl),Lyso-PC(19:0) [M+H]+
20507,706.5386,PC,Glycerophosphocholines,PC(30:0) [M+H]+
19366,1409.0852,PC,Unknown,NA
9206,790.5609,PC,Oxidized glycerophospholipids,PC(O-38:7) [M+H]+
21377,938.4596,PC,Oxidized glycerophospholipids,NA
20579,754.5746,PC,Glycerophosphocholines,PC(O-35:4) [M+H]+
5847,508.3773,PC,Lyso-PC(alkyl),Lyso-PC(O-18:1) [M+H]+
20570,792.5898,PC,Unknown,PC(O-38:6) [M+H]+
20110,766.5755,PC,Unknown,PC(O-36:5) [M+H]+
30851,802.6695,PC,Unknown,PC(O-36:3;O2) [M+H]+
26468,796.6276,PC,Neutral glycosphingolipids,PC(O-18:0/20:4) [M+H]+
24997,822.6338,PC,Glycerophosphocholines,PC(O-18:0/22:5) [M+H]+
25820,800.6292,PC,Glycerophosphocholines,PC(37:2) [M+H]+
26314,840.6394,PC,Unknown,PC(40:3) [M+H]+
3862,580.3978,PC,Oxidized Lyso-PC(acyl),Lyso-PC(21:1;O) [M+H]+
18224,764.5597,PC,Unknown,PC(O-36:6) [M+H]+
19118,794.5765,PC,Unknown,PC(37:5) [M+H]+
20974,742.5745,PC,Glycerophosphocholines,PC(O-34:3) [M+H]+
17097,892.4353,PC,Unknown,NA
21661,780.5918,PC,Glycerophosphocholines,PC(O-37:5) [M+H]+
22360,792.5902,PC,Unknown,PC(O-38:6) [M+H]+
11125,552.4388,PC,Lyso-PC(alkyl),Lyso-PC(O-21:0) [M+H]+
2695,572.3721,PC,Lyso-PC(acyl),Lyso-PC(22:4) [M+H]+
21182,754.5745,PC,Unknown,PC(O-35:4) [M+H]+
27311,852.6496,PC,Unknown,NA
24286,808.6229,PC,Unknown,PC(O-39:5) [M+H]+
25440,770.5678,PC,Glycerophosphoethanolamines,NA
27604,822.6348,PC,Unknown,PC(O-18:0/22:5) [M+H]+
19989,832.5846,PC,Unknown,PC(40:7) [M+H]+
13569,800.5814,PC,Glycerophosphocholines,PC(O-36:4;O2) [M+H]+
18233,812.5778,PC,Unknown,PC(O-37:5;O) [M+H]+
22209,704.5585,PC,Glycerophosphocholines,PC(O-31:1) [M+H]+
34590,976.6557,PC,Unknown,NA
13509,782.5711,PC,Glycerophosphocholines,PC(36:4) / PC(O-36:5;O) [M+H]+
18316,796.5898,PC,Unknown,NA
22784,784.586,PC,Glycerophosphocholines,PC(36:3) / PC(O-36:4;O) [M+H]+
22302,758.5698,PC,Unknown,PC(34:2) [M+H]+
21746,820.5892,PC,Neutral glycosphingolipids,PC(39:6) [M+H]+
23279,792.5907,PC,Unknown,PC(O-38:6) [M+H]+
23738,780.5897,PC,Glycerophosphocholines,PC(O-37:5) [M+H]+
10506,832.5705,PC,Oxidized glycerophospholipids,PC(40:7) [M+H]+
10880,832.5951,PC,Oxidized DGCC,DGCC(16:0/22:6;O2) [M+H]+
29207,826.6699,PC,Glycerophosphocholines,PC(O-40:3) [M+H]+
23646,782.6063,PC,Glycerophosphocholines,PC(O-37:4) [M+H]+
16665,764.5597,PC,Unknown,PC(O-36:6) [M+H]+
12499,842.5686,PC,Glycerophosphocholines,NA
7725,704.4654,PC,Unknown,PC(O-32:8) [M+H]+
7067,776.5453,PC,Depsipeptides,NA
23860,806.605,PC,Glycerophosphocholines,PC(O-39:6) [M+H]+
17509,764.5594,PC,Unknown,PC(O-36:6) [M+H]+
15726,726.3912,PC,Unknown,NA
26567,848.6539,PC,Glycerophosphocholines,PC(O-42:6) [M+H]+
21121,792.5904,PC,Unknown,PC(O-38:6) [M+H]+
14034,858.6237,PC,Glycerophosphocholines,PC(O-39:4;O3) [M+H]+
13564,784.5859,PC,Glycerophosphocholines,PC(36:3) / PC(O-36:4;O) [M+H]+
11174,708.4958,PC,Unknown,PC(O-32:6) [M+H]+
909,542.3247,PC,Lyso-PC(acyl),Lyso-PC(20:5) [M+H]+
15747,871.5331,PC,Unknown,NA
20777,798.6014,PC,Unknown,PC(37:3) [M+H]+
1133,518.3248,PC,Lyso-PC(acyl),Lyso-PC(18:3) [M+H]+
25021,862.6322,PC,Unknown,PC(42:6) [M+H]+
1654,454.3294,PC,Lyso-PC(alkyl),Lyso-PC(O-14:0) [M+H]+
16446,738.5447,PC,Glycerophosphocholines,PC(O-34:5) [M+H]+
25954,864.6461,PC,Glycerophosphocholines,PC(42:5) [M+H]+
23499,836.6164,PC,Glycerophosphocholines,PC(O-18:0/22:5) [M+H]+
3358,510.3573,PC,Lyso-PC(acyl),Lyso-PC(17:0) [M + H]+
23127,780.5908,PC,Unknown,PC(O-37:5) [M+H]+
1858,480.345,PC,Lyso-PC(alkyl),Lyso-PC(O-16:1) [M+H]+
25233,786.6015,PC,Unknown,PC(36:2) [M+H]+
12157,815.5422,PC,Unknown,NA
22429,768.5899,PC,Unknown,PC(O-16:0/20:4) [M+H]+
6654,608.4296,PC,Oxidized Lyso-PC(acyl),Lyso-PC(23:1;O) [M+H]+
25919,862.6303,PC,Unknown,PC(42:6) [M+H]+
25926,794.6038,PC,Unknown,PC(O-18:1/20:4) [M+H]+
25934,774.4353,PC,Oxidized glycerophospholipids,NA
25199,836.6162,PC,Unknown,PC(40:5) [M+H]+
16749,800.5816,PC,Unknown,PC(O-36:4;O2) [M+H]+
25654,784.622,PC,Glycerophosphocholines,PC(O-37:3) [M+H]+
2436,572.3715,PC,Lyso-PC(acyl),Lyso-PC(22:4) [M+H]+
31781,914.7208,PC,Triacylglycerols,NA
25245,744.5908,PC,Unknown,PC(O-34:2) [M+H]+
19586,792.5904,PC,Unknown,PC(O-38:6) [M+H]+
23157,860.6157,PC,Unknown,NA
15777,800.5899,PC,Glycerophosphocholines,PC(O-36:4;O2) [M+H]+
15425,800.5818,PC,Glycerophosphocholines,PC(O-36:4;O2) [M+H]+
12833,566.455,PC,Lyso-PC(alkyl),Lyso-PC(O-22:0) [M+H]+
16046,778.5385,PC,Unknown,PC(36:6) [M+H]+
19106,662.518,PC,Neutral glycosphingolipids,NA
7882,804.5383,PC,Oxidized glycerophospholipids,PC(38:7) [M+H]+
4614,608.4292,PC,Oxidized Lyso-PC(acyl),Lyso-PC(23:1;O) [M+H]+
21130,755.5778,PC,Unknown,NA
24478,795.6385,PC,Phosphosphingolipids,SM(41:4;O2) [M+H]+
27227,848.6527,PC,Unknown,PC(O-42:6) [M+H]+
8549,844.5697,PC,Oxidized glycerophospholipids,NA
23085,774.6083,PC,Unknown,PC(35:1) [M+H]+
