metabolite,ubiquity_overall,avg_abundance
x10747_312_32606_5_533,100,183501.187193662
x11336_419_31538_5_713,100,307571.56794630305
x11341_326_3418_5_741,100,1838187.3794061616
x14243_429_37252_6_962,100,2748946.7297570426
x31100_886_40753_13_478,100,1387803.9827735897
x33912_426_46694_14_117,100,1324969.744058101
x4010_482_36283_3_31,100,192966.085540493
x7366_284_29507_4_379,100,139554.05565404927
x7880_310_31046_4_535,100,74914.23940492957
x7916_298_31064_4_523,100,8293239.49192605
x5248_282_27936_3_702,99.82394366197182,187227.7394885563
x6124_510_39212_3_959,99.82394366197182,29395673.22814262
x9218_338_34192_4_985,99.82394366197182,125903.20930633802
x22863_768_59077_10_971,99.64788732394366,84517544.46095207
x24084_760_58567_11_631,99.64788732394366,7936763.362021836
x25770_796_62218_12_134,99.64788732394366,41971817.936728835
x2841_594_34325_2_732,99.64788732394366,150583.1282757042
x38129_900_79564_15_474,99.47183098591549,527299.0499329221
x5348_270_27943_3_728,99.47183098591549,138817.4422265845
x14914_354_37285_7_258,99.29577464788733,6896332.690165311
x32235_412_45134_13_734,99.29577464788733,740479.7924901402
x16691_531_40837_8_007,99.11971830985915,338155.6336073944
x25029_540_53547_11_921,99.11971830985915,879116.6084139086
x34967_550_59293_14_37,99.11971830985915,209629.05906073944
x37493_794_72212_15_188,99.11971830985915,1038976.475169014
x37512_768_70614_15_195,98.94366197183099,501006.3006804578
x37580_606_65484_15_21,98.94366197183099,153416.53222799295
x4214_358_368_3_384,98.94366197183099,865963.9027390847
x9236_371_3156_4_983,98.94366197183099,112625.0041959507
x2457_496_33999_2_452,98.59154929577466,11180067.958514092
x36514_468_51389_14_901,98.59154929577466,553281.1862313377
x4782_524_37152_3_571,98.59154929577466,10339684.11907833
x23929_538_5197_11_565,98.41549295774648,2312232.090563556
x3156_482_36064_2_937,98.41549295774648,43696420.231779955
x37491_896_76901_15_186,98.23943661971832,2194472.758898415
x37622_846_75387_15_254,98.23943661971832,720556.7459751761
x19344_800_60417_9_097,98.06338028169014,76208946.99807392
x20449_766_57519_9_667,98.06338028169014,50007019.036058865
x2750_522_35618_2_667,98.06338028169014,873540.2212174301
x36173_740_67585_14_735,98.06338028169014,244211.32891725353
x36869_871_75714_15_03,98.06338028169014,662261.3979524643
x7384_456_40535_4_385,98.06338028169014,185467.18410616193
x12969_366_37306_6_431,97.88732394366197,52849.84716989437
x23789_794_60652_11_52,97.88732394366197,30875646.307798732
x24987_796_62223_11_912,97.88732394366197,17611081.59686321
x25808_746_60638_12_152,97.88732394366197,15036208.302905975
x37168_870_75312_15_069,97.88732394366197,986125.7500267599
x27388_812_6496_12_583,97.7112676056338,256131.26855352122
x31460_534_56198_13_557,97.7112676056338,189905.78724154923
x36153_766_69146_14_734,97.7112676056338,308952.24803063367
x4603_428_37317_3_509,97.7112676056338,798612.1930816901
x28676_871_57426_12_973,97.53521126760563,27953513.711182263
x22285_536_50395_10_6,97.35915492957746,9458320.028751763
x37029_844_73746_15_028,97.35915492957746,706126.816602817
x7139_296_29515_4_302,97.35915492957746,548873.6998367957
x2459_400_34197_2_453,97.1830985915493,967076.5134334506
x26895_566_55078_12_446,97.1830985915493,241103.54697746475
x27936_800_65225_12_718,97.1830985915493,658125.4220172539
x36014_894_75214_14_706,97.1830985915493,629607.2053366201
x4496_496_37644_3_479,97.1830985915493,2445505.5015950673
x23921_520_50907_11_562,97.00704225352112,1944212.912960389
x24344_786_60085_11_721,97.00704225352112,2959039.7335455986
x25984_830_3443_12_211,97.00704225352112,255138.62062693684
x29054_494_52978_12_999,97.00704225352112,142030.10965616195
x29061_872_57546_12_975,97.00704225352112,18251902.125174306
x36059_868_73779_14_704,97.00704225352112,1073390.1742841543
x36776_818_72215_14_93,97.00704225352112,856954.1895137326
x4690_270_27914_3_526,97.00704225352112,1484876.934506514
x26753_788_61732_12_415,96.83098591549296,4438323.082852109
x18202_654_56755_8_553,96.65492957746478,456101.4444926055
x19879_806_57033_9_344,96.65492957746478,10154731.856998257
x21844_792_59098_10_385,96.65492957746478,21145780.371376224
x26380_784_62973_12_327,96.65492957746478,4455431.744175525
x26468_796_62762_12_333,96.65492957746478,607146.1139156691
x27831_887_56926_12_726,96.65492957746478,8226055.253566019
x28396_774_63786_12_834,96.65492957746478,6048938.791626057
x1921_339_19506_1_967,96.47887323943662,34849.95976742958
x19262_740_55911_9_032,96.47887323943662,2957389.074853696
x20887_782_5699_9_886,96.47887323943662,7448330.495441547
x21530_758_56998_10_226,96.47887323943662,3352536.6377623235
x22902_794_60499_10_997,96.47887323943662,56732787.419507064
x23523_779_58668_11_386,96.47887323943662,299721.606696831
x26056_772_62178_12_23,96.47887323943662,6494850.668323945
x2245_330_33669_2_258,96.30281690140845,230138.13519524652
x26171_798_63378_12_281,96.30281690140845,1467321.7247093308
x37376_899_78391_15_184,96.30281690140845,386615.30116144376
x16686_576_46566_8_005,96.12676056338029,192706.55661109157
x25626_794_6061_12_036,96.12676056338029,1301329.1961332753
x26368_786_63606_12_327,96.12676056338029,723162.2756065142
x36595_894_75128_14_86,96.12676056338029,939780.068837677
x38072_872_76878_15_399,96.12676056338029,1122323.100413204
x38300_901_80067_15_479,96.12676056338029,263554.70736566914
x39737_662_71722_16_103,96.12676056338029,427951.49400827446
x9373_538_42397_5_038,96.12676056338029,2284788.4461838035
x19444_383_3667_9_154,95.95070422535211,442515.58595105645
x23949_734_5696_11_571,95.95070422535211,967171.479616549
x24253_770_60636_11_681,95.95070422535211,12636743.842595419
x26200_810_63781_12_279,95.95070422535211,1449315.6962955983
x35205_566_58565_14_447,95.95070422535211,133356.92348785218
x10475_484_43622_5_435,95.77464788732394,99790.11632570424
x25455_564_53571_12_037,95.77464788732394,325829.5953077465
x27095_798_6385_12_471,95.77464788732394,5157380.920191016
x27604_822_63483_12_635,95.77464788732394,186075.4260334507
x27701_810_64521_12_65,95.77464788732394,905334.795865669
x28888_873_57794_12_975,95.77464788732394,5906697.936576228
x29222_814_66811_13_008,95.77464788732394,704502.5065940139
x37482_922_78386_15_185,95.77464788732394,1245448.267235916
x6084_532_3736_3_947,95.77464788732394,1318955.63168081
x1649_544_34026_1_739,95.59859154929578,648213.8773375
x19279_643_51751_9_054,95.59859154929578,30358665.629095767
x23464_744_59099_11_345,95.59859154929578,8148545.884339256
x24123_810_60076_11_642,95.59859154929578,4712392.845594005
x25082_782_61441_11_938,95.59859154929578,961168.7247399644
x25776_818_60241_12_14,95.59859154929578,787866.5570410213
x27743_798_64507_12_659,95.59859154929578,2386999.4060897892
x27847_799_64828_12_675,95.59859154929578,1138402.2813808098
x28832_800_65337_12_882,95.59859154929578,907705.6137857395
x29160_618_58231_13_036,95.59859154929578,1123385.0184154927
x36121_842_72119_14_713,95.59859154929578,509168.22604753537
x7773_524_40783_4_468,95.59859154929578,792139.6881297537
x19772_429_37267_9_293,95.4225352112676,198015.51464014084
x22257_558_48585_10_595,95.4225352112676,2029357.4913989443
x22799_790_57142_10_937,95.4225352112676,1277711.501341549
x26267_808_6195_12_306,95.4225352112676,810532.6911427815
x36696_868_73683_14_878,95.4225352112676,691311.486174824
x39167_884_77202_15_881,95.4225352112676,94595.9618600352
x6491_468_34541_4_083,95.4225352112676,587414.0259797535
x6689_344_35256_4_145,95.4225352112676,2572425.6697573937
x8001_552_40312_4_541,95.4225352112676,1632533.5594348588
x1232_251_16426_1_486,95.24647887323944,81555.66866760561
x23381_768_59089_11_225,95.24647887323944,886270.5487635563
x24838_770_60774_11_835,95.24647887323944,6923511.120708983
x27019_814_63333_12_479,95.24647887323944,1405704.6243408443
x2954_468_34807_2_833,95.24647887323944,62383.343364260545
x29662_871_57509_13_138,95.24647887323944,7169244.664969188
x36292_792_70748_14_778,95.24647887323944,356011.78289577464
x38363_924_80033_15_529,95.24647887323944,930136.5250103873
x4860_546_35343_3_581,95.24647887323944,974161.786830282
x6230_466_32962_3_999,95.24647887323944,6554388.374868308
x6245_284_2947_4_005,95.24647887323944,904618.1414633802
x15578_381_35127_7_509,95.07042253521126,389731.9475484154
x22281_518_49367_10_602,95.07042253521126,8947976.08126075
x28210_592_56636_12_785,95.07042253521126,765437.2067450704
x29576_594_58226_13_129,95.07042253521126,126729.8102151408
x36885_590_62391_14_963,95.07042253521126,36401.48725862677
x6315_538_38706_4_031,95.07042253521126,630428.3571661974
x20945_808_58514_9_921,94.8943661971831,17206760.173471287
x2173_496_34031_2_192,94.8943661971831,720558.4103630281
x24752_732_5909_11_842,94.8943661971831,3979337.0980889066
x38259_898_78379_15_478,94.8943661971831,1403992.5212130286
