metabolite,ubiquity_percent,n_samples_present,total_samples,avg_intensity_overall,max_intensity
x10747_312_32606_5_533,100,568,568,183501.187193662,4028918.2
x11336_419_31538_5_713,100,568,568,307571.56794630305,15755156
x11341_326_3418_5_741,100,568,568,1838187.3794061616,9930047
x14243_429_37252_6_962,100,568,568,2748946.7297570426,26839130
x31100_886_40753_13_478,100,568,568,1387803.9827735897,8279866
x33912_426_46694_14_117,100,568,568,1324969.744058101,5540898
x4010_482_36283_3_31,100,568,568,192966.085540493,1521343.8
x7366_284_29507_4_379,100,568,568,139554.05565404927,3131483
x7880_310_31046_4_535,100,568,568,74914.23940492957,582544.1
x7916_298_31064_4_523,100,568,568,8293239.49192605,33173104
x5248_282_27936_3_702,99.82394366197182,567,568,187227.7394885563,7207731
x6124_510_39212_3_959,99.82394366197182,567,568,29395673.22814262,213784100
x9218_338_34192_4_985,99.82394366197182,567,568,125903.20930633802,562348.94
x22863_768_59077_10_971,99.64788732394366,566,568,84517544.46095207,364712700
x24084_760_58567_11_631,99.64788732394366,566,568,7936763.362021836,65758704
x25770_796_62218_12_134,99.64788732394366,566,568,41971817.936728835,314553180
x2841_594_34325_2_732,99.64788732394366,566,568,150583.1282757042,785550.4
x38129_900_79564_15_474,99.47183098591549,565,568,527299.0499329221,8005627.5
x5348_270_27943_3_728,99.47183098591549,565,568,138817.4422265845,5834500
x14914_354_37285_7_258,99.29577464788733,564,568,6896332.690165311,43620444
x32235_412_45134_13_734,99.29577464788733,564,568,740479.7924901402,3691004.8
x16691_531_40837_8_007,99.11971830985915,563,568,338155.6336073944,6965649.5
x25029_540_53547_11_921,99.11971830985915,563,568,879116.6084139086,10016277
x34967_550_59293_14_37,99.11971830985915,563,568,209629.05906073944,3071851.5
x37493_794_72212_15_188,99.11971830985915,563,568,1038976.475169014,7207882.5
x37512_768_70614_15_195,98.94366197183099,562,568,501006.3006804578,4666299
x37580_606_65484_15_21,98.94366197183099,562,568,153416.53222799295,6189221.5
x4214_358_368_3_384,98.94366197183099,562,568,865963.9027390847,30456694
x9236_371_3156_4_983,98.94366197183099,562,568,112625.0041959507,1497317.4
x2457_496_33999_2_452,98.59154929577466,560,568,11180067.958514092,153363280
x36514_468_51389_14_901,98.59154929577466,560,568,553281.1862313377,3205558.2
x4782_524_37152_3_571,98.59154929577466,560,568,10339684.11907833,93893630
x23929_538_5197_11_565,98.41549295774648,559,568,2312232.090563556,27317666
x3156_482_36064_2_937,98.41549295774648,559,568,43696420.231779955,398104320
x37491_896_76901_15_186,98.23943661971832,558,568,2194472.758898415,18588494
x37622_846_75387_15_254,98.23943661971832,558,568,720556.7459751761,22918998
x19344_800_60417_9_097,98.06338028169014,557,568,76208946.99807392,354199840
x20449_766_57519_9_667,98.06338028169014,557,568,50007019.036058865,355574340
x2750_522_35618_2_667,98.06338028169014,557,568,873540.2212174301,25448066
x36173_740_67585_14_735,98.06338028169014,557,568,244211.32891725353,4154645.5
x36869_871_75714_15_03,98.06338028169014,557,568,662261.3979524643,7302023.5
x7384_456_40535_4_385,98.06338028169014,557,568,185467.18410616193,2875586.8
x12969_366_37306_6_431,97.88732394366197,556,568,52849.84716989437,1469523.5
x23789_794_60652_11_52,97.88732394366197,556,568,30875646.307798732,224597920
x24987_796_62223_11_912,97.88732394366197,556,568,17611081.59686321,133562820
x25808_746_60638_12_152,97.88732394366197,556,568,15036208.302905975,103404560
x37168_870_75312_15_069,97.88732394366197,556,568,986125.7500267599,7837758
x27388_812_6496_12_583,97.7112676056338,555,568,256131.26855352122,2500584.5
x31460_534_56198_13_557,97.7112676056338,555,568,189905.78724154923,8117100.5
x36153_766_69146_14_734,97.7112676056338,555,568,308952.24803063367,4935188
x4603_428_37317_3_509,97.7112676056338,555,568,798612.1930816901,18852132
x28676_871_57426_12_973,97.53521126760563,554,568,27953513.711182263,143506720
x22285_536_50395_10_6,97.35915492957746,553,568,9458320.028751763,130023730
x37029_844_73746_15_028,97.35915492957746,553,568,706126.816602817,10277005
x7139_296_29515_4_302,97.35915492957746,553,568,548873.6998367957,17911674
x2459_400_34197_2_453,97.1830985915493,552,568,967076.5134334506,48896370
x26895_566_55078_12_446,97.1830985915493,552,568,241103.54697746475,7048766.5
x27936_800_65225_12_718,97.1830985915493,552,568,658125.4220172539,5141744.5
x36014_894_75214_14_706,97.1830985915493,552,568,629607.2053366201,8123925.5
x4496_496_37644_3_479,97.1830985915493,552,568,2445505.5015950673,62713604
x23921_520_50907_11_562,97.00704225352112,551,568,1944212.912960389,42104770
x24344_786_60085_11_721,97.00704225352112,551,568,2959039.7335455986,20978276
x25984_830_3443_12_211,97.00704225352112,551,568,255138.62062693684,6472805
x29054_494_52978_12_999,97.00704225352112,551,568,142030.10965616195,862883.5
x29061_872_57546_12_975,97.00704225352112,551,568,18251902.125174306,96012270
x36059_868_73779_14_704,97.00704225352112,551,568,1073390.1742841543,8598067
x36776_818_72215_14_93,97.00704225352112,551,568,856954.1895137326,9314395
x4690_270_27914_3_526,97.00704225352112,551,568,1484876.934506514,9676428
x26753_788_61732_12_415,96.83098591549296,550,568,4438323.082852109,33198470
x18202_654_56755_8_553,96.65492957746478,549,568,456101.4444926055,8036714
x19879_806_57033_9_344,96.65492957746478,549,568,10154731.856998257,175713390
x21844_792_59098_10_385,96.65492957746478,549,568,21145780.371376224,259386560
x26380_784_62973_12_327,96.65492957746478,549,568,4455431.744175525,20603090
x26468_796_62762_12_333,96.65492957746478,549,568,607146.1139156691,5479142.5
x27831_887_56926_12_726,96.65492957746478,549,568,8226055.253566019,47636948
x28396_774_63786_12_834,96.65492957746478,549,568,6048938.791626057,51094700
x1921_339_19506_1_967,96.47887323943662,548,568,34849.95976742958,537202.25
x19262_740_55911_9_032,96.47887323943662,548,568,2957389.074853696,28381392
x20887_782_5699_9_886,96.47887323943662,548,568,7448330.495441547,68883910
x21530_758_56998_10_226,96.47887323943662,548,568,3352536.6377623235,65128740
x22902_794_60499_10_997,96.47887323943662,548,568,56732787.419507064,457451700
x23523_779_58668_11_386,96.47887323943662,548,568,299721.606696831,1519676.6
x26056_772_62178_12_23,96.47887323943662,548,568,6494850.668323945,51902390
x2245_330_33669_2_258,96.30281690140845,547,568,230138.13519524652,3216910
x26171_798_63378_12_281,96.30281690140845,547,568,1467321.7247093308,36996810
x37376_899_78391_15_184,96.30281690140845,547,568,386615.30116144376,5694571.5
x16686_576_46566_8_005,96.12676056338029,546,568,192706.55661109157,6613772
x25626_794_6061_12_036,96.12676056338029,546,568,1301329.1961332753,16525236
x26368_786_63606_12_327,96.12676056338029,546,568,723162.2756065142,4523173.5
x36595_894_75128_14_86,96.12676056338029,546,568,939780.068837677,8601531
x38072_872_76878_15_399,96.12676056338029,546,568,1122323.100413204,11572364
x38300_901_80067_15_479,96.12676056338029,546,568,263554.70736566914,5807558.5
x39737_662_71722_16_103,96.12676056338029,546,568,427951.49400827446,2216855
x9373_538_42397_5_038,96.12676056338029,546,568,2284788.4461838035,29192650
x19444_383_3667_9_154,95.95070422535211,545,568,442515.58595105645,1656305.2
x23949_734_5696_11_571,95.95070422535211,545,568,967171.479616549,15203468
x24253_770_60636_11_681,95.95070422535211,545,568,12636743.842595419,169320580
x26200_810_63781_12_279,95.95070422535211,545,568,1449315.6962955983,18862218
x35205_566_58565_14_447,95.95070422535211,545,568,133356.92348785218,755355
x10475_484_43622_5_435,95.77464788732394,544,568,99790.11632570424,2959924.2
x25455_564_53571_12_037,95.77464788732394,544,568,325829.5953077465,4993091.5
x27095_798_6385_12_471,95.77464788732394,544,568,5157380.920191016,53517736
x27604_822_63483_12_635,95.77464788732394,544,568,186075.4260334507,2027010.1
x27701_810_64521_12_65,95.77464788732394,544,568,905334.795865669,8187505
x28888_873_57794_12_975,95.77464788732394,544,568,5906697.936576228,30857364
x29222_814_66811_13_008,95.77464788732394,544,568,704502.5065940139,3895173.8
x37482_922_78386_15_185,95.77464788732394,544,568,1245448.267235916,18065962
