"","compound_class","count_in_target","count_in_total","not_in_target","not_in_total","odds_ratio","p_value","p_adj","dataset"
"odds ratio...1","TAG",306,477,2275,13310,3.75281559044833,3.76878808291242e-59,4.48485781866577e-57,"host_family"
"odds ratio...2","Ceramides",109,218,2472,13569,2.7441179848491,1.91723360867838e-15,7.60502664775758e-14,"host_family"
"odds ratio...3","DGDG",23,21,2558,13766,5.89313006549919,2.18509477137925e-08,5.20052555588261e-07,"host_family"
"odds ratio...4","MGDG",30,38,2551,13749,4.25454273319211,2.68521476072948e-08,5.32567594211347e-07,"host_family"
"odds ratio...5","HexCer",19,20,2562,13767,5.10421935355096,1.50710659590471e-06,2.24182106140826e-05,"host_family"
"odds ratio...6","TQ/THQs",30,55,2551,13732,2.93590939303059,8.40245649726949e-06,0.000111099147019452,"host_family"
"odds ratio...7","Lyso-PC(acyl)",22,33,2559,13754,3.58278084623593,1.32204560291144e-05,0.000143021297042238,"host_family"
"odds ratio...8","Lyso-DGCC",13,11,2568,13776,6.33874811140922,1.61512088699111e-05,0.000160166154626618,"host_family"
"odds ratio...9","Lyso-PC(alkyl)",14,14,2567,13773,5.36466088557721,2.52098265009903e-05,0.000230766873355219,"host_family"
"odds ratio...10","DGCC",28,55,2553,13732,2.7379170893627,5.1188483341156e-05,0.000435102108399826,"host_family"
"odds ratio...11","DAG",46,126,2535,13661,1.96738212913211,0.000202636716446429,0.00160758461714167,"host_family"
"odds ratio...12","MADAG",22,48,2559,13739,2.46056307404627,0.000881569512150461,0.00617098658505323,"host_family"
"odds ratio...13","Neutral GSL",74,262,2507,13525,1.52370049115358,0.00238965703957703,0.0157982882060926,"host_family"
"odds ratio...14","SQDG",5,5,2576,13782,5.34941613191027,0.0122023643879568,0.0764253348508875,"host_family"
"odds ratio...15","Primary amides",3,1,2578,13786,16.0409418099899,0.0138167933585367,0.0822099204832936,"host_family"
"odds ratio...16","Carotenoids",20,55,2561,13732,1.94981110938621,0.015866766051275,0.0871866033919822,"host_family"
"odds ratio...17","Oxidized Lyso-PE(alkyl)",2,0,2579,13787,Inf,0.0248566737267447,0.118975381146045,"host_family"
"odds ratio...18","Lyso-MGDG",4,4,2577,13783,5.34772884390748,0.0253380981968285,0.118975381146045,"host_family"
"odds ratio...19","Monoacylglycerols",4,4,2577,13783,5.34772884390748,0.0253380981968285,0.118975381146045,"host_family"
"odds ratio...20","Lyso-DGDG",4,5,2577,13782,4.27800669450047,0.0400056842436756,0.164161256034393,"host_family"
"odds ratio...21","CAEP",9,22,2572,13765,2.18927612929296,0.0498878637388499,0.197888526164105,"host_family"
"odds ratio...110","TAG",48,735,219,15366,4.58084427077901,1.36371624841331e-15,1.62282233561183e-13,"rf"
"odds ratio...22","Ceramides",18,309,249,15792,3.69416042501529,7.41552900822442e-06,0.000294149317326235,"rf"
"odds ratio...31","MADAG",7,63,260,16038,6.85134292304541,0.000141751449152118,0.00421710561227552,"rf"
"odds ratio...41","PI (diacyl)",4,18,263,16083,13.5835947150153,0.0004017025015161,0.00956051953608318,"rf"
"odds ratio...51","Hydrocarbons",2,3,265,16098,40.4413254464559,0.00256629285713888,0.0508981416665878,"rf"
"odds ratio...111","TAG",12,771,49,15536,4.93371479001847,2.64305367458301e-05,0.00157261693637689,"xgboost"
"odds ratio...23","Ceramides",7,320,54,15987,6.4742347682622,0.00020599392254848,0.0081710922610897,"xgboost"
"odds ratio...32","PE (mono-alkyl-mono-acyl)",2,36,59,16271,15.3091637798286,0.00881091128039707,0.262124610591813,"xgboost"
"odds ratio...42","Glycerophosphoserines",2,46,59,16261,11.9753634480015,0.0138049339352292,0.328557427658455,"xgboost"
"odds ratio...52","MADAG",2,68,59,16239,8.09377166987157,0.0280537878643632,0.556400125976537,"xgboost"
"odds ratio...112","Ceramides",77,250,777,15264,6.04911222791508,5.55502604491255e-30,3.30524049672297e-28,"scler_90"
"odds ratio...24","PC(alkyl)",33,43,821,15471,14.4544973889346,1.09563021309334e-22,4.34599984527023e-21,"scler_90"
"odds ratio...33","HexCer",16,23,838,15491,12.8574525054188,3.19562699659122e-11,9.50699031485889e-10,"scler_90"
"odds ratio...43","TAG",80,703,774,14811,2.17743015614206,7.52898254472359e-09,1.79189784564421e-07,"scler_90"
"odds ratio...53","Lyso-PC(acyl)",16,39,838,15475,7.57496203909696,1.14679117639026e-08,2.27446916650735e-07,"scler_90"
"odds ratio...61","DGCC",19,64,835,15450,5.49186797025169,3.781142837458e-08,6.42794282367859e-07,"scler_90"
"odds ratio...71","Lyso-PC(alkyl)",10,18,844,15496,10.19644006034,7.88035462167887e-07,1.17220274997473e-05,"scler_90"
"odds ratio...81","TQ/THQs",16,69,838,15445,4.27313308818008,6.96612096617034e-06,9.21075994415856e-05,"scler_90"
"odds ratio...91","PI (diacyl)",7,15,847,15499,8.53761164714616,8.78034581395604e-05,0.00104486115186077,"scler_90"
"odds ratio...101","MGDG",12,56,842,15458,3.93371299424766,0.000184102019778301,0.00199164912305617,"scler_90"
"odds ratio...113","Primary amides",3,1,851,15513,54.6084426846799,0.00054415448842168,0.00539619867684833,"scler_90"
"odds ratio...121","Oxidized Lyso-PE(alkyl)",2,0,852,15514,Inf,0.00271920658364072,0.0248911987271728,"scler_90"
"odds ratio...131","PE (mono-alkyl-mono-acyl)",7,31,847,15483,4.12716100774758,0.00313595207522804,0.0266555926394384,"scler_90"
"odds ratio...141","Fatty acyl carnitines",9,51,845,15463,3.22889526762543,0.00370461080822495,0.0293899124119179,"scler_90"
"odds ratio...151","DGDG",7,37,847,15477,3.45652414709977,0.00726604330972907,0.0540411971161099,"scler_90"
"odds ratio...161","SQDG",3,7,851,15507,7.80835442069767,0.0128878283934602,0.0902147987542214,"scler_90"
