"","metabolite","FA_Composition","Compound_Names","Formulas","Scleractinian_Ubiquity","Non_Scleractinian_Ubiquity"
"1","x33780_862_69116_14_061","20:5","TAG(14:0/18:4/20:5) [M+NH4]+","C53H93NO6","94.1588785046729","16.1764705882353"
"2","x34236_914_72143_14_183","20:5 | 22:6","TAG(18:3/18:3/20:5) / (16:1/18:4/22:6) [M+NH4]+","C66H91NO","95.7943925233645","33.0882352941176"
"3","x36235_944_7677_14_744","22:6","TAG(16:1/20:4/22:5) / (18:2/18:3/22:5) / (18:1/20:4/20:5) [M+NH4]+","C56H101N3O8","98.3644859813084","58.8235294117647"
"4","x36672_842_72239_14_928","18:3","TAG(16:0/16:1/18:4) / (16:0/16:2/18:3) / 18:1 18:2 20:4 [M+NH4]+","NA","97.4299065420561","40.4411764705882"
"5","x37099_894_75125_15_027","18:2 | 18:3","TAG(18:0/18:3/18:4) [M+NH4]+","C55H101NO6","90.6542056074766","14.7058823529412"
"6","x37527_998_81385_15_195","22:6 | 28:8","TAG(16:0/18:3/28:8) [M+NH4]+","C13H26O35S8","97.4299065420561","34.5588235294118"
"7","x37719_944_77041_15_287","20:4 | 22:6","TAG(18:0/18:4/22:6) / (16:0/20:4/22:6) [M+NH4]+","C56H101N3O8","98.3644859813084","17.6470588235294"
"8","x38490_972_80122_15_591","22:6","TAG(16:0/22:4/22:6) / 20:5 28:7 [M+NH4]+","NA","97.4299065420561","13.9705882352941"
"9","x38809_870_75649_15_74","16:0 | 20:5","TAG(16:0/16:0/20:5) [M+NH4]+","NA","99.0654205607477","54.4117647058823"
"10","x39055_948_80202_15_826","18:1 | 22:6","TAG(18:1/18:1/22:6) / (18:0/20:4/20:4) / (18:1/18:3/22:4) / (18:0/18:3/22:5) [M+NH4]+","C59H107NO6","96.4953271028037","9.55882352941176"
"11","x39264_974_81744_15_901","22:6","TAG(16:0/16:1/28:8) (16:0/22:4/22:5) [M+NH4]+","C58H107N3O8","99.5327102803738","21.3235294117647"
"12","x39503_1000_83267_15_996","22:6","TAG(16:0/18:3/28:7) [M+NH4]+","NA","95.0934579439252","6.61764705882353"
"13","x39508_898_78752_16_02","16:0 | 22:5","TAG(16:0/18:1/20:4) [M+NH4]+","C57H103NO6","95.0934579439252","38.2352941176471"
"14","x39541_932_80618_16_033","20:4 | 20:5 | 22:5","MADAG(O-18:0/20:4/22:5) [M+NH4]+","NA","91.8224299065421","3.67647058823529"
"15","x39596_872_77229_16_05","16:0 | 20:4","TAG(16:0/16:0/20:4) [M+NH4]+","NA","95.7943925233645","22.7941176470588"
"16","x39601_906_79162_16_052","20:4 | 20:5","MADAG(O-16:0/20:4/20:4) [M+NH4]+","NA","91.8224299065421","11.0294117647059"
"17","x40448_910_82144_16_435","18:1 | 20:4 | 20:5 | 22:5","MADAG(56:6) [M+NH4]+","NA","93.2242990654206","2.20588235294118"
