"metabolite","H","df","p.value","n","median_coral","median_non_coral","median_scleractinia","n_coral","n_non_coral","n_scleractinia","p.adj"
"x1014_394_26002_1_302",489.95468085501,2,4.05221855647693e-107,597,37888.295,34826.132,0,86,68,443,6.59174392582103e-103
"x1831_394_26003_1_922",474.841904604796,2,7.75158523563956e-104,597,31570.442,26026.294,0,86,68,443,6.30475185140744e-100
"x39476_1324_42892_15_993",397.336523821556,2,5.24167539816624e-87,597,15376.6755,13655.4065,0,86,68,443,2.84221112339901e-83
"x39479_1325_43242_15_993",394.477660477495,2,2.18909399811495e-86,597,15103.3635,13842.5405,0,86,68,443,8.90249801683397e-83
"x38022_1212_30251_15_389",384.125349002141,2,3.87471964468523e-84,597,102353.3925,100428.933,0,86,68,443,1.26060128920189e-80
"x35948_614_62111_14_661",381.908745023161,2,1.17373410211584e-83,597,91931.885,79364.6875,0,86,68,443,3.18218877318639e-80
"x37973_670_68312_15_374",373.640967022497,2,7.32647217523108e-82,597,23165.172,19363.577,0,86,68,443,1.70256746963549e-78
"x37069_1156_23805_15_05",362.012321958879,2,2.45483946259484e-79,597,13344.5545,13821.9685,0,86,68,443,4.99160919225379e-76
"x35952_636_67609_14_666",358.88632831452,2,1.17172040015837e-78,597,138066.055,136794.18,0,86,68,443,2.11781952770846e-75
"x39497_718_78094_16_004",356.238414628326,2,4.40363325240682e-78,597,17695.879,15889.9345,0,86,68,443,7.16339021169017e-75
"x38004_1254_34891_15_383",352.549065197795,2,2.78575675461346e-77,597,65572.924,56342.043,0,86,68,443,4.1196277388452e-74
"x38018_1255_35198_15_384",350.81804426311,2,6.61956745696202e-77,597,64370.925,52927.65,0,86,68,443,8.97337531853344e-74
"x38921_524_57716_15_757",342.880116097351,2,3.50371532138899e-75,597,102869.18,89874.935,0,86,68,443,4.38422593331036e-72
"x39059_538_59286_15_805",341.154032299672,2,8.30506711839272e-75,597,350196.795,315817.84,0,86,68,443,9.64989477249245e-72
"x39482_719_77858_15_996",340.822817691677,2,9.80088932212497e-75,597,26435.8575,23958.3235,0,86,68,443,1.06287377735338e-71
