"metabolite","coral_present","noncoral_present","coral_percent","noncoral_percent","total_present","total_percent","coral_minus_noncoral"
"x39975_976_83346_16_206",419,6,94.5823927765237,3.8961038961039,425,71.1892797319933,90.6862888804198
"x40448_910_82144_16_435",407,3,91.8735891647856,1.94805194805195,410,68.676716917923,89.9255372167336
"x39503_1000_83267_15_996",413,9,93.2279909706546,5.84415584415584,422,70.6867671691792,87.3838351264988
"x39995_882_7922_16_226",397,4,89.6162528216704,2.5974025974026,401,67.1691792294807,87.0188502242678
"x39055_948_80202_15_826",422,13,95.2595936794582,8.44155844155844,435,72.8643216080402,86.8180352378998
"x38232_946_78554_15_489",392,3,88.4875846501129,1.94805194805195,395,66.1641541038526,86.5395327020609
"x39541_932_80618_16_033",397,5,89.6162528216704,3.24675324675325,402,67.3366834170854,86.3694995749172
"x37636_970_78489_15_253",383,1,86.4559819413093,0.649350649350649,384,64.321608040201,85.8066312919586
"x38989_1000_82878_15_768",385,2,86.9074492099323,1.2987012987013,387,64.8241206030151,85.608747911231
"x38748_998_81637_15_676",380,2,85.7787810383747,1.2987012987013,382,63.9865996649916,84.4800797396734
"x40361_882_7932_16_392",375,1,84.6501128668172,0.649350649350649,376,62.9815745393635,84.0007622174665
"x40256_908_80758_16_341",372,0,83.9729119638826,0,372,62.3115577889447,83.9729119638826
"x31043_602_58816_13_46",380,3,85.7787810383747,1.94805194805195,383,64.1541038525963,83.8307290903228
"x40661_850_7868_16_556",370,0,83.5214446952596,0,370,61.9765494137353,83.5214446952596
"x40077_924_80245_16_253",370,0,83.5214446952596,0,370,61.9765494137353,83.5214446952596
"x40099_884_8047_16_271",370,0,83.5214446952596,0,370,61.9765494137353,83.5214446952596
"x40856_954_84718_16_66",372,1,83.9729119638826,0.649350649350649,373,62.4790619765494,83.323561314532
"x40629_876_80182_16_545",369,0,83.2957110609481,0,369,61.8090452261307,83.2957110609481
"x39973_824_76535_16_179",369,0,83.2957110609481,0,369,61.8090452261307,83.2957110609481
"x37993_897_7712_15_373",383,5,86.4559819413093,3.24675324675325,388,64.9916247906198,83.209228694556
"x40690_852_79704_16_58",368,0,83.0699774266366,0,368,61.641541038526,83.0699774266366
"x40805_952_8339_16_653",368,0,83.0699774266366,0,368,61.641541038526,83.0699774266366
"x40654_878_81475_16_557",367,0,82.8442437923251,0,367,61.4740368509213,82.8442437923251
"x40839_912_83735_16_673",367,0,82.8442437923251,0,367,61.4740368509213,82.8442437923251
"x40828_884_80748_16_617",366,0,82.6185101580135,0,366,61.3065326633166,82.6185101580135
"x38490_972_80122_15_591",423,20,95.4853273137698,12.987012987013,443,74.2043551088777,82.4983143267568
"x33703_610_6141_14_071",371,2,83.7471783295711,1.2987012987013,373,62.4790619765494,82.4484770308698
"x39849_850_78309_16_147",365,0,82.392776523702,0,365,61.1390284757119,82.392776523702
"x41213_878_8186_16_932",365,0,82.392776523702,0,365,61.1390284757119,82.392776523702
"x40695_824_77092_16_584",365,0,82.392776523702,0,365,61.1390284757119,82.392776523702
"x41194_904_83387_16_917",365,0,82.392776523702,0,365,61.1390284757119,82.392776523702
"x40747_902_81778_16_618",364,0,82.1670428893905,0,364,60.9715242881072,82.1670428893905
"x40133_856_77677_16_265",364,0,82.1670428893905,0,364,60.9715242881072,82.1670428893905
"x38889_848_76831_15_729",381,6,86.0045146726862,3.8961038961039,387,64.8241206030151,82.1084107765823
"x40912_928_83443_16_707",363,0,81.941309255079,0,363,60.8040201005025,81.941309255079
"x40643_926_81708_16_502",363,0,81.941309255079,0,363,60.8040201005025,81.941309255079
"x40170_1002_84881_16_288",386,8,87.1331828442438,5.1948051948052,394,65.9966499162479,81.9383776494386
