"","Df","SumOfSqs","R2","F","Pr(>F)"
"scl_status:host_class",0,3.19744231092045e-14,6.25726856855794e-16,Inf,NA
"scl_status:host_order",0,-1.4210854715202e-14,-2.78100825269242e-16,-Inf,NA
"scl_status:host_family",0,-1.77635683940025e-15,-3.47626031586552e-17,-Inf,NA
"scl_status:host_genus",0,1.24344978758018e-14,2.43338222110587e-16,Inf,NA
"scl_status:host_species",31,2.04474278254623,0.040014810276058,1.86316243513624,0.001
"scl_status:bleaching",2,1.3125471606102,0.0256860305650735,18.5378195563063,0.001
"scl_status:symbiont.potential",0,2.8421709430404e-14,5.56201650538484e-16,Inf,NA
"scl_status:location",1,0.331171123010215,0.00648088833924675,9.35462085456583,0.001
"Residual",388,13.7359277009338,0.268806690802483,NA,NA
"Total",457,51.0996495657423,1,NA,NA
