Feature,XGBoost_Importance,RandomForest_Importance
x15256_518_49365_7_407,0.44689468,0.0252080431410842
x40448_910_82144_16_435,0.15297158,0.022910081439309723
x23838_655_56593_11_538,0.098261416,0.011826299638641536
x1665_478_33003_1_765,0.05177523,0.000762266583243645
x38801_904_77237_15_725,0.032813042,0.013990674588636846
x34772_648_7388_14_298,0.033265755,0.012682277532149682
x3878_496_37664_3_306,0.04293208,8.600303752874439e-05
x40361_882_7932_16_392,0.024672125,0.007886652141607595
x21706_518_49399_10_315,0.016837353,0.011786951495530789
x38849_694_70785_15_702,0.01946093,0.007620466491584397
x31043_602_58816_13_46,0.0,0.01764853416853923
x26641_796_58276_12_388,0.015166075,0.0019952199255719658
x27853_600_57246_12_686,0.0,0.016828075311194516
x29010_632_59734_12_997,0.01262088,0.0033817111710183504
x29030_614_5872_12_997,0.0050590886,0.010306583129159394
x39601_906_79162_16_052,0.0,0.01182535896936322
x29264_600_57265_13_034,0.0,0.011657856478626535
x31054_642_57998_13_463,0.0,0.011415398485720615
x23839_960_65237_11_539,0.0,0.011216729440100728
x30325_673_57807_13_293,0.0,0.011174690096841633
x727_474_30953_1_221,0.006425728,0.004647580816997633
x15241_760_51335_7_399,0.008965695,0.002053589149903038
x2119_330_26433_2_135,0.007260732,0.003595088607686394
x2230_466_29346_2_231,0.010074603,0.0006477737713697704
x32507_622_61287_13_786,0.0,0.01068289486106421
x22282_500_48306_10_601,0.0,0.010315717395002097
x23446_710_62854_11_336,0.0,0.010155161743094552
x31046_620_59826_13_466,0.0,0.009843138999913278
x23073_784_5852_11_103,0.009217946,0.0006105449906170836
x39541_932_80618_16_033,0.0,0.009693507860803184
x26019_361_27312_12_222,0.00532516,0.003927779925349996
x19257_500_48165_9_045,0.0,0.009252740250564308
x30313_614_58869_13_294,0.0,0.008172995007587027
x19679_518_49359_9_2,0.0,0.008018912223427184
x41233_912_83892_16_95,0.0,0.007784448896741837
x32461_604_60363_13_783,0.0,0.007783762224008937
x40828_884_80748_16_617,0.0,0.007651633315530813
x40133_856_77677_16_265,0.0,0.007469882982045423
x22286_262_25238_10_601,0.0,0.007455346244598641
x17918_534_4883_8_471,0.0,0.007430287092562889
x23841_932_62245_11_539,0.0,0.007248563521235118
x31765_656_59464_13_624,0.0,0.007192415293683155
x40256_908_80758_16_341,0.0,0.006844119591266138
x40709_910_82287_16_592,0.0,0.006796801839241404
x33729_648_62884_14_058,0.0,0.006759891077861967
x33723_630_61906_14_068,0.0,0.006438474615627655
x33726_670_6109_14_07,0.0,0.006425589718932531
x40713_858_79187_16_592,0.0,0.006342739606451139
x28646_780_59015_12_887,0.0,0.006342401687958879
x15226_778_52391_7_395,0.0,0.006009418143642315
x15214_800_50547_7_387,0.0,0.005865878687830384
x30506_632_59866_13_341,0.0,0.0057805341130532685
x34484_644_63456_14_248,0.0,0.005765481903377115
x41005_860_80765_16_798,0.0,0.005748998280031959
x22267_488_48279_10_601,0.0,0.005725790640459799
x41010_910_82416_16_777,0.0,0.0056845111544117045
x23400_873_58478_11_287,0.0,0.005670697357689566
x21089_682_59818_10_006,0.0,0.005458613283001889
x23823_958_63698_11_535,0.0,0.005380866617208778
x27832_618_58246_12_68,0.0,0.0052885831785990205
x19255_518_49318_9_043,0.0,0.005119076535791443
x39591_934_81857_16_036,0.0,0.005094930995652076
x40253_934_82237_16_346,0.0,0.005077141367559537
x41273_886_82369_16_981,0.0,0.005066564988603055
x31752_616_60362_13_621,0.0,0.005028255471614049
x142_335_18306_0_795,0.0,0.00485965956521301
x40715_537_52425_16_597,0.0,0.004523193766513053
x30438_389_30448_13_307,0.0,0.004360826314840905
x1882_552_27118_1_955,0.0,0.00402024999377089
x23293_760_64529_11_233,0.0,0.003992167832045337
x30378_655_5675_13_285,0.0,0.003934818583597352
x150_277_17971_0_819,0.0,0.003803794700708589
x28738_588_5718_12_997,0.0,0.0037852526964408913
x30358_341_30461_13_303,0.0,0.0036467480494394655
x24597_848_51744_11_795,0.0,0.0035479426906472595
x30287_848_65893_13_29,0.0,0.00348160718925859
x40531_832_7758_16_473,0.0,0.0033064066701761043
x21822_748_52661_10_396,0.0,0.0032889502530612904
x31750_634_61382_13_623,0.0,0.0032787402134173576
x26020_484_28221_12_22,0.0,0.00323704068116488
x26021_752_55957_12_218,0.0,0.0032210788732576147
x23260_532_50935_11_213,0.0,0.003127858886136226
x33473_624_62987_14_015,0.0,0.0030814326720321273
x26336_604_56644_12_314,0.0,0.003000985253394851
x31012_631_5664_13_455,0.0,0.002962726163178124
x17374_787_54278_8_267,0.0,0.0028791219207543644
x1875_530_28797_1_954,0.0,0.0027957391057527744
x32534_644_59591_13_801,0.0,0.002766320657467528
x31005_584_57882_13_451,0.0,0.0027070877734142683
x21470_732_61496_10_207,0.0,0.0027065234580801846
x27746_586_55698_12_658,0.0,0.0026836884935694458
x25065_427_8167_11_929,0.0,0.002645920571179899
x17995_730_59783_8_496,0.0,0.002608377474443468
x31050_658_55407_13_465,0.0,0.0025613537194607993
x8881_490_39057_4_844,0.0,0.002543616266550728
x28976_812_66148_12_988,0.0,0.002503128155966012
x34470_684_62474_14_244,0.0,0.0024861218536588302
x32113_570_52527_13_704,0.0,0.0024723858398082586
x24082_750_54463_11_628,0.0,0.002465082664461604
x34480_662_64485_14_247,0.0,0.002463904694044296
x8571_651_53221_4_745,0.0,0.00245805112058897
x18249_789_49071_8_547,0.0,0.0023973391240595045
x31769_628_60346_13_622,0.0,0.002360555212975136
x20312_722_51201_9_588,0.0,0.002360066682585755
x21481_743_57811_10_286,0.0,0.0023500956924811505
x19848_848_61591_9_327,0.0,0.002345515694860216
x6671_564_36627_4_139,0.0,0.0023372057455604243
x6176_385_34734_3_982,0.0,0.0023107592075325627
x25954_864_64608_12_215,0.0,0.0023090686324364687
x17175_520_50882_8_19,0.0,0.0023027945702940476
x7228_708_44485_4_33,0.0,0.002300454821534278
x8842_776_50726_4_827,0.0,0.002280358468178567
x31074_653_54823_13_466,0.0,0.0022220029016403135
x39322_880_77617_15_921,0.0,0.0022161665574397006
x19662_682_59798_9_245,0.0,0.0021974834968034956
x31883_672_56925_13_649,0.0,0.002175446666984695
x2444_534_3559_2_447,0.0,0.002167765950674885
x18463_676_52136_8_656,0.0,0.002153406022621694
x6681_842_47889_4_141,0.0,0.0021474519859999495
x22281_518_49367_10_602,0.0,0.002129444293174275
x31622_704_61782_13_598,0.0,0.0020862869965806094
x28995_857_72056_12_993,0.0,0.0020692951042907133
x40428_960_83799_16_413,0.0,0.0020503862282141307
x29160_618_58231_13_036,0.0,0.0020485039504163052
x16255_896_61839_7_768,0.0,0.002047963474613964
x31954_664_62394_13_669,0.0,0.002031252715824803
x41596_914_85546_17_336,0.0,0.0020191887885777473
x36616_808_73736_14_863,0.0,0.0020133168118837987
x39062_854_76003_15_823,0.0,0.0020114669456506597
x19586_792_59037_9_203,0.0,0.0019471919457260557
x23182_583_50824_11_169,0.0,0.0019250159631559554
x40991_886_81996_16_782,0.0,0.0018516944339825358
x2649_506_36068_2_586,0.0,0.0018384866454278683
x21235_780_59139_10_041,0.0,0.0018339475015251429
x23845_937_57764_11_54,0.0,0.0018155847683592177
x18861_714_55175_8_847,0.0,0.0017945046392201748
x29507_836_64781_13_046,0.0,0.0017873232454467597
x8983_478_38978_4_88,0.0,0.00174839773378857
