Feature,XGBoost_Importance,RandomForest_Importance
x15256_518_49365_7_407,0.19142792,0.024253590711589838
x23838_655_56593_11_538,0.16735438,0.014813740306021596
x40448_910_82144_16_435,0.121701024,0.011702816364482508
x29010_632_59734_12_997,0.05629964,0.011205715937921934
x31046_620_59826_13_466,0.052424096,0.01132448324361435
x26641_796_58276_12_388,0.059838906,0.0022768718241904413
x39541_932_80618_16_033,0.030250661,0.01342040292897803
x38849_694_70785_15_702,0.039816216,0.002226310661977166
x39322_880_77617_15_921,0.033081584,0.00351214628556224
x31043_602_58816_13_46,0.02178886,0.011377389491923401
x1875_530_28797_1_954,0.028711392,0.002486424782583303
x23077_702_58114_11_108,0.02952974,0.00041631020699028887
x21706_518_49399_10_315,0.013505464,0.014796933299249967
x2119_330_26433_2_135,0.02192617,0.002511840167224573
x27853_600_57246_12_686,0.009231635,0.015156484760752178
x2695_572_37207_2_621,0.023757704,0.0
x32507_622_61287_13_786,0.012165456,0.00749490347519984
x29264_600_57265_13_034,0.0,0.01668402022278002
x1882_552_27118_1_955,0.013041226,0.0036080454350141183
x38801_904_77237_15_725,0.006201901,0.008025266249942794
x27471_612_57288_12_601,0.01123188,0.0029580882844386504
x19279_643_51751_9_054,0.0115292715,0.0001669502743632344
x40256_908_80758_16_341,0.0,0.011604972187476198
x16732_1028_71072_8_024,0.01147214,1.7604900140547253e-05
x39601_906_79162_16_052,0.0,0.010851908793369011
x40828_884_80748_16_617,0.0,0.010651204632099088
x23839_960_65237_11_539,0.0,0.01063758476714648
x29030_614_5872_12_997,0.0,0.010579943518012839
x23446_710_62854_11_336,0.0,0.01056080229208395
x23841_932_62245_11_539,0.0,0.010203128663281397
x32461_604_60363_13_783,0.0,0.009600449894670295
x727_474_30953_1_221,0.0050800876,0.004386228144780181
x30325_673_57807_13_293,0.0,0.009461006662690442
x19679_518_49359_9_2,0.0,0.009358643299101611
x27832_618_58246_12_68,0.0,0.00909856837117292
x21489_530_49376_10_208,0.007601314,0.0010748181628393414
x40133_856_77677_16_265,0.0,0.00801600099474559
x41233_912_83892_16_95,0.0,0.007834896950230355
x40361_882_7932_16_392,0.0,0.0077853312252564545
x22282_500_48306_10_601,0.0,0.007762985143126204
x31054_642_57998_13_463,0.0,0.00733186512330091
x34772_648_7388_14_298,0.0,0.007239954699048175
x40713_858_79187_16_592,0.0,0.00718337655055003
x30358_341_30461_13_303,0.0,0.007163191792917531
x24018_710_62926_11_604,0.0,0.0070969555220102695
x22829_810_60266_10_934,0.006157641,0.0005649968438859798
x23293_760_64529_11_233,0.0,0.0065699956472432975
x21089_682_59818_10_006,0.0,0.006410792259933651
x19255_518_49318_9_043,0.0,0.006304063966168961
x17918_534_4883_8_471,0.0,0.00623251591780942
x26336_604_56644_12_314,0.0,0.006163229258492339
x28646_780_59015_12_887,0.0,0.006086121797178566
x21498_682_59842_10_259,0.0,0.006057807862017157
x14609_784_5861_7_112,0.0060481406,2.9675847242756692e-06
x33723_630_61906_14_068,0.0,0.005737370986533439
x23036_710_63001_11_089,0.0,0.005635768441374759
x26373_586_55678_12_324,0.0,0.005563511922759075
x22286_262_25238_10_601,0.0,0.005469382575645323
x15226_778_52391_7_395,0.0,0.0053992847025518
x31752_616_60362_13_621,0.0,0.005336278478430926
x33726_670_6109_14_07,0.0,0.005314659171995501
x33729_648_62884_14_058,0.0,0.005117190470007934
x40709_910_82287_16_592,0.0,0.005008011431998843
x34484_644_63456_14_248,0.0,0.0049659043202522875
x30506_632_59866_13_341,0.0,0.004955882182378765
x30313_614_58869_13_294,0.0,0.0047613522039694055
x33648_836_71572_14_036,0.004671339,5.5623396241148284e-05
x40715_537_52425_16_597,0.0,0.004707607553653807
x30438_389_30448_13_307,0.0,0.004676701629765504
x28995_857_72056_12_993,0.0041542,0.0004714131389965911
x31909_686_60713_13_661,0.0,0.004517374990182177
x41010_910_82416_16_777,0.0,0.004502021852526499
x40991_886_81996_16_782,0.0,0.004411472300304138
x31765_656_59464_13_624,0.0,0.004409906263972098
x21830_708_61418_10_381,0.0,0.004284075302972855
x23823_958_63698_11_535,0.0,0.0041556192713265725
x1747_553_2779_1_831,0.0,0.003906589234031818
