"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"1","x19344_800_60417_9_097",19344,"Diacylglyceryl-carboxyhydroxymethylcholines","C46H83NO8","[M + Na]+","C46H83NO8","Fatty acids",0.974953949451446,"Unknown",0.148637712001801,"Unknown",0.11446613073349,"Unknown",0.504600942134857,NA,NA,NA,NA,NA,0.971896,0.762364,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",800.603569,"Niarox",75689,"Symbiont","DGCC","DGCC(16:0/22:6) [M+H]+"
"2","x19279_643_51751_9_054",19279,"Ceramide aminoethylphosphonates","C38H66N4O4","[M + H]+","C38H66N4O4","Fatty acids",0.989674389362335,"Sphingolipids",0.990752100944519,"Ceramides",0.976433336734772,"Unknown",0.502224445343018,NA,NA,NA,NA,NA,0.878557,0.379385,"Phosphoshingolipids","Ceramide aminoethylphosphonates","CAEP",643.5173,"KARP",122777,"Host","CAEP","CAEP(34:2;O2) [M+H]+"
"3","x6124_510_39212_3_959",6124,"Phosphatidylglycerocholines","C26H56NO6P","[M + H]+","C26H56NO6P","Fatty acids",0.999984383583069,"Glycerophospholipids",0.999425530433655,"Glycerophosphocholines",0.997995853424072,"Glycerophosphocholines",0.950486838817596,0.935098,2.15253,"Spectral Match to Lyso-PAF C-18 from NIST14","N/A","N/A",0.995258,0.538132,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",510.39187,"Niarox",40924,"Host","Lyso-PC(alkyl)","Lyso-PC(O-18:0) [M+H]+"
"4","x1935_553_33175_1_992",1935,"Carotenoids (C40)","C37H44O4","[M + H]+","C37H44O4","Terpenoids",0.996590733528137,"Carotenoids (C40)",0.999058067798614,"Carotenoids (C40, Î²-Î²)",0.977711260318756,"Unknown",0.55423504114151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Carotenoids (C40, Î²-Î²)",NA
"5","x25808_746_60638_12_152",25808,"Glycerophospholipids","C42H84NO7P","[M + H]+","C42H84NO7P","Fatty acids",0.999928832054138,"Glycerophospholipids",0.998039543628693,"Glycerophosphocholines",0.999464809894562,"1-alkyl,2-acylglycero-3-phosphocholines",0.886991441249847,0.916826,5.88604,"Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Both","Glycerophosphocholines",NA
"6","x37978_894_75516_15_378",37978,"Triacylglycerols","C55H101NO6","[M + Na]+","C55H101NO6","Fatty acids",0.998518526554108,"Unknown",0.50836569070816,"Triacylglycerols",0.85606861114502,"N-acyl amines",0.952797591686249,NA,NA,NA,NA,NA,0.762002,2.11465,"Glycerolipid","Triacylglycerols","Triacylglycerols",894.75327,"Niarox",113459,"Both","Triacylglycerols","TAG(16:0/16:1/22:6) / (16:0/18:3/20:4) [M+NH4]+"
"7","x14249_790_54653_6_965",14249,"Monogalactosyldiacylglycerol","C43H77NO10","[M + Na]+","C43H77NO10","Fatty acids",0.999835014343262,"Glycerolipids",0.910368919372559,"Unknown",0.2330242395401,"Unknown",0.694668233394623,NA,NA,NA,NA,NA,0.919736,0.154413,"Galactolipid","Monogalactosyldiacylglycerol","MGDG",790.5464,"Niarox",62811,"Symbiont","MGDG","MGDG(18:3/18:4) [M+NH4]+"
"8","x13140_819_50164_6_503",13140,"Carotenoids (C40)","C56H66O5","[M + H]+","C56H66O5","Terpenoids",0.997936010360718,"Carotenoids (C40)",0.995576739311218,"Unknown",0.300310671329498,"Prenol lipids",0.997223854064941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA
"9","x6689_344_35256_4_145",6689,"Unknown","C21H45NO2","[M + H]+","C21H45NO2","Fatty acids",0.992244303226471,"Unknown",0.52755481004715,"Unknown",0.161600887775421,"Unknown",0.617767751216888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"10","x16370_748_57337_7_844",16370,"Diacylglyceryl-carboxyhydroxymethylcholines","C42H79NO8","[M + Na]+","C42H79NO8","Fatty acids",0.98439747095108,"Unknown",0.224739104509354,"Unknown",0.417435735464096,"Unknown",0.645550429821014,NA,NA,NA,NA,NA,0.982633,1.87532,"Betaine Lipid","Diacylglyceryl-carboxyhydroxymethylcholines","DGCC",748.571969,"Niarox",68967,"Symbiont","DGCC","DGCC(34:4) [M+H]+"
