"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"1","x3156_482_36064_2_937",3156,"Phosphatidylglycerocholines","C24H52NO6P","[M + H]+","C24H52NO6P","Fatty acids",0.999980807304382,"Glycerophospholipids",0.999315619468689,"Glycerophosphocholines",0.997665047645569,"Glycerophosphocholines",0.957442760467529,0.931122,1.26534,"Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",0.994773,0.189801,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",482.36047,"Niarox",30246,"Host","Lyso-PC(alkyl)","Lyso-PC(O-16:0) [M+H]+"
"2","x19279_643_51751_9_054",19279,"Ceramide aminoethylphosphonates","C38H66N4O4","[M + H]+","C38H66N4O4","Fatty acids",0.989674389362335,"Sphingolipids",0.990752100944519,"Ceramides",0.976433336734772,"Unknown",0.502224445343018,NA,NA,NA,NA,NA,0.878557,0.379385,"Phosphoshingolipids","Ceramide aminoethylphosphonates","CAEP",643.5173,"KARP",122777,"Host","CAEP","CAEP(34:2;O2) [M+H]+"
"3","x26021_752_55957_12_218",26021,"Phosphatidylglyceroethanolamines","C45H73N3O6","[M + H]+","C45H73N3O6","Unknown",0.72005707025528,"Unknown",0.227148041129112,"Unknown",0.131923899054527,"Unknown",0.765769064426422,NA,NA,NA,NA,NA,0.914936,0.892138,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",752.5589,"Niarox",90262,"Host","PE (mono-alkyl-mono-acyl)","PE(O-38:5) [M+H]+"
"4","x22281_518_49367_10_602",22281,"Sphingolipids","C34H63NO2","[M + H]+","C34H63NO2","Fatty acids",0.998386263847351,"Sphingolipids",0.993455946445465,"Ceramides",0.996395885944366,"Ceramides",0.997822642326355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"5","x6230_466_32962_3_999",6230,"Unknown","C23H48NO6P","[M + H]+","C23H48NO6P","Fatty acids",0.999787628650665,"Unknown",0.795124292373657,"Unknown",0.64320433139801,"Unknown",0.713779866695404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"6","x22869_771_59779_10_97",22869,"Oligopeptides","C43H80N4O6","[M + Na]+","C43H80N4O6","Amino acids and Peptides",0.856738269329071,"Oligopeptides",0.935707449913025,"Unknown",0.388968259096146,"Alpha amino acids and derivatives",0.990633606910706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA
"7","x22799_790_57142_10_937",22799,"Oligopeptides","C43H75N5O8","[M + H]+","C43H75N5O8","Amino acids and Peptides",0.992226958274841,"Oligopeptides",0.978181064128876,"Unknown",0.24632465839386,"Peptides",0.890842437744141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"8","x23841_932_62245_11_539",23841,"Phosphatidylglyceroinositols","C51H85N3O12","[M + H]+","C51H85N3O12","Polyketides",0.876544415950775,"Unknown",0.499118566513062,"Unknown",0.57756495475769,"Unknown",0.556153118610382,NA,NA,NA,NA,NA,0.844002,0.196334,"Phospholipid","Phosphatidylglyceroinositols","PI (diacyl)",932.6223,"Niarox",88428,"Host","PI (diacyl)","PI(18:0/22:4) [M+NH4]+"
"9","x6084_532_3736_3_947",6084,"Glycerophospholipids","C26H56NO6P","[M + Na]+","C26H56NO6P","Fatty acids",0.99998676776886,"Glycerophospholipids",0.999600112438202,"Glycerophosphocholines",0.998271107673645,"Glycerophosphocholines",0.960107028484344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA
"10","x19310_665_49861_9_069",19310,"Unknown","C37H70O8","[M + Na]+","C37H70O8","Polyketides",0.913308501243591,"Unknown",0.386893659830093,"Macrotetrolides",0.914746701717377,"Unknown",0.655241727828979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Macrotetrolides",NA
