"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"1","x3156_482_36064_2_937",3156,"Phosphatidylglycerocholines","C24H52NO6P","[M + H]+","C24H52NO6P","Fatty acids",0.999980807304382,"Glycerophospholipids",0.999315619468689,"Glycerophosphocholines",0.997665047645569,"Glycerophosphocholines",0.957442760467529,0.931122,1.26534,"Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",0.994773,0.189801,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",482.36047,"Niarox",30246,"Host","Lyso-PC(alkyl)","Lyso-PC(O-16:0) [M+H]+"
"2","x26021_752_55957_12_218",26021,"Phosphatidylglyceroethanolamines","C45H73N3O6","[M + H]+","C45H73N3O6","Unknown",0.72005707025528,"Unknown",0.227148041129112,"Unknown",0.131923899054527,"Unknown",0.765769064426422,NA,NA,NA,NA,NA,0.914936,0.892138,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",752.5589,"Niarox",90262,"Host","PE (mono-alkyl-mono-acyl)","PE(O-38:5) [M+H]+"
"3","x6230_466_32962_3_999",6230,"Unknown","C23H48NO6P","[M + H]+","C23H48NO6P","Fatty acids",0.999787628650665,"Unknown",0.795124292373657,"Unknown",0.64320433139801,"Unknown",0.713779866695404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"4","x3140_504_34195_2_931",3140,"Glycerophospholipids","C24H52NO6P","[M + Na]+","C24H52NO6P","Fatty acids",0.999994516372681,"Glycerophospholipids",0.999314665794373,"Glycerophosphocholines",0.996299803256988,"Glycerophosphocholines",0.989992082118988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA
"5","x24359_782_60661_11_724",24359,"Glycerophospholipids","C45H84NO7P","[M + H]+","C45H84NO7P","Fatty acids",0.999981641769409,"Glycerophospholipids",0.99929416179657,"Glycerophosphocholines",0.999771416187286,"Unknown",0.748279988765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-37:4) [M+H]+"
"6","x20473_788_55523_9_685",20473,"Oligopeptides","C43H73N5O8","[M + H]+","C43H73N5O8","Amino acids and Peptides",0.990362703800201,"Oligopeptides",0.970787525177002,"Unknown",0.289532274007797,"Unknown",0.843996107578278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"7","x21104_667_51515_9_991",21104,"Sphingolipids","C36H73N2O5P","[M + Na]+","C36H73N2O5P","Fatty acids",0.999562799930572,"Sphingolipids",0.999018549919128,"Phosphosphingolipids",0.942880094051361,"Phosphosphingolipids",0.996712565422058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Phosphosphingolipids",NA
"8","x22804_780_58887_10_928",22804,"Glycerophospholipids","C43H84NO7P","[M + Na]+","C43H84NO7P","Fatty acids",0.999746024608612,"Glycerophospholipids",0.996979355812073,"Unknown",0.79968386888504,"Unknown",0.773122370243073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"9","x4860_546_35343_3_581",4860,"Glycerophospholipids","C26H54NO7P","[M + Na]+","C26H54NO7P","Fatty acids",0.998013377189636,"Glycerophospholipids",0.999903082847595,"Glycerophosphocholines",0.99859756231308,"1-acyl-sn-glycero-3-phosphocholines",0.926068782806396,0.885071,4.35685,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA
"10","x11988_492_34809_6_02",11988,"Unknown","C32H45NO3","[M + H]+","C32H45NO3","Unknown",0.63985013961792,"Unknown",0.546146631240845,"Unknown",0.810034871101379,"Unknown",0.565081536769867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"11","x27910_716_55909_12_685",27910,"Phosphatidylglyceroethanolamines","C42H73N3O6","[M + H]+","C42H73N3O6","Polyketides",0.933653116226196,"Unknown",0.688313484191895,"Depsipeptides",0.851322948932648,"Unknown",0.72456282377243,NA,NA,NA,NA,NA,0.903367,0.255534,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",716.5589,"KARP",172570,"Host","PE (mono-alkyl-mono-acyl)","PE(O-35:2) [M+H]"
"12","x14474_640_55096_7_072",14474,"Fatty esters","C38H73NO6","[M + H]+","C38H73NO6","Fatty acids",0.999411821365356,"Fatty esters",0.962897181510925,"Unknown",0.701258599758148,"Fatty acid esters",0.995854914188385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"13","x29010_632_59734_12_997",29010,"Sphingolipids","C41H77NO3","[M + H]+","C41H77NO3","Fatty acids",0.999769866466522,"Sphingolipids",0.966980159282684,"Ceramides",0.996048986911774,"Unknown",0.577662706375122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Ceramides",NA
"14","x4603_428_37317_3_509",4603,"Fatty esters","C25H49NO4","[M + H]+","C25H49NO4","Fatty acids",0.998413443565369,"Fatty esters",0.999111711978912,"Fatty acyl carnitines",0.922754287719727,"Unknown",0.663057029247284,0.912177,0.498685,"Massbank:RP025603 Stearoyl-L-Carnitine|stearoylcarnitine|3-octadecanoyloxy-4-(trimethylazaniumyl)butanoate","Fatty Acyls","Fatty acid esters",NA,NA,NA,NA,NA,NA,NA,NA,"Host","Fatty acyl carnitines",NA
"15","x25740_808_62031_12_113",25740,"Glycerophospholipids","C47H86NO7P","[M + H]+","C47H86NO7P","Fatty acids",0.999735414981842,"Glycerophospholipids",0.996795237064362,"Glycerophosphoethanolamines",0.91219836473465,"Amino acids and derivatives",0.917411684989929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphoethanolamines",NA
"16","x26054_774_54083_12_234",26054,"Phosphatidylglyceroethanolamines","C42H71N5O8","[M + H]+","C42H71N5O8","Amino acids and Peptides",0.940619349479675,"Oligopeptides",0.970961332321167,"Cyclic peptides",0.922813594341278,"Unknown",0.508840203285217,NA,NA,NA,NA,NA,0.956767,0,"Phospholipid","Phosphatidylglyceroethanolamines","PE (mono-alkyl-mono-acyl)",774.5408,"Niarox",87264,"Host","PE (mono-alkyl-mono-acyl)","PE(O-38:5) [M+Na]+"
"17","x3523_508_37638_3_101",3523,"Phosphatidylglycerocholines","C26H54NO6P","[M + H]+","C26H54NO6P","Fatty acids",0.99975973367691,"Glycerophospholipids",0.999251782894134,"Glycerophosphocholines",0.869583189487457,"Glycerophosphocholines",0.971442937850952,NA,NA,NA,NA,NA,0.97383,0.600295,"Phospholipid","Phosphatidylglycerocholines","Lyso-PC(alkyl)",508.37627,"Niarox",33626,"Host","Lyso-PC(alkyl)","Lyso-PC(O-18:1) [M+H]+"
"18","x26370_829_68761_12_322",26370,"Hexosylceramides","C47H92N2O9","[M + H]+","C47H92N2O9","Fatty acids",0.986303985118866,"Sphingolipids",0.99931526184082,"Neutral glycosphingolipids",0.980683207511902,"Unknown",0.691019833087921,NA,NA,NA,NA,NA,0.718857,0,"Neutral Glycosphingolipids","Hexosylceramides","HexCer",829.6876,"Niarox",95056,"Host","HexCer","HexCer(41:2;O3) [M+NH4]+"
