coralonly_rf,coralonly_gb,all_rfgb
x22863_768_59077_10_971,x22863_768_59077_10_971,x19344_800_60417_9_097
x3156_482_36064_2_937,x3156_482_36064_2_937,x25770_796_62218_12_134
x20449_766_57519_9_667,x19279_643_51751_9_054,x19279_643_51751_9_054
x23789_794_60652_11_52,x22902_794_60499_10_997,x6124_510_39212_3_959
x24987_796_62223_11_912,x26021_752_55957_12_218,x1935_553_33175_1_992
x26021_752_55957_12_218,x22281_518_49367_10_602,x22902_794_60499_10_997
x26056_772_62178_12_23,x26056_772_62178_12_23,x25808_746_60638_12_152
x6230_466_32962_3_999,x6230_466_32962_3_999,x4568_587_22932_3_498
x25734_822_63619_12_121,x25734_822_63619_12_121,x37978_894_75516_15_378
x3140_504_34195_2_931,x22257_558_48585_10_595,x14249_790_54653_6_965
x24359_782_60661_11_724,x27615_824_65407_12_621,x26753_788_61732_12_415
x26387_806_61119_12_325,x24838_770_60774_11_835,x13140_819_50164_6_503
x20473_788_55523_9_685,x22869_771_59779_10_97,x6689_344_35256_4_145
x21104_667_51515_9_991,x26360_766_62066_12_319,x16370_748_57337_7_844
x22804_780_58887_10_928,x19261_1286_02582_9_046,x8982_929_75157_4_877
x4860_546_35343_3_581,x22799_790_57142_10_937,x19375_822_58348_9_119
x11988_492_34809_6_02,x23841_932_62245_11_539,x20158_1444_01775_9_506
x27910_716_55909_12_685,x26387_806_61119_12_325,x20416_802_61844_9_653
x14474_640_55096_7_072,x6084_532_3736_3_947,x38160_846_7524_15_436
x29010_632_59734_12_997,x19310_665_49861_9_069,x38756_850_78656_15_687
x4603_428_37317_3_509,x6689_344_35256_4_145,x39091_950_81423_15_819
x25740_808_62031_12_113,x20473_788_55523_9_685,x29153_834_64268_13_004
x26054_774_54083_12_234,x31046_620_59826_13_466,x37213_842_72354_15_079
x3523_508_37638_3_101,x29153_834_64268_13_004,x12271_817_4866_6_131
x34772_648_7388_14_298,x27982_604_56684_12_699,x27982_604_56684_12_699
x19872_828_55032_9_343,x4496_496_37644_3_479,x24518_1376_04833_11_783
x26370_829_68761_12_322,x25776_818_60241_12_14,x20283_753_57094_9_613
x6270_488_31164_4_015,x22037_768_59132_10_443,x11285_788_52063_5_711
x17460_1195_91181_8_298,x30258_690_60437_13_288,x40747_902_81778_16_618
x4177_524_37207_3_374,x23028_752_59618_11_083,x36097_840_70824_14_698
x20959_830_56547_9_927,x21104_667_51515_9_991,x31043_602_58816_13_46
x31765_656_59464_13_624,x19452_766_57545_9_157,x39491_926_81454_15_997
x23839_960_65237_11_539,x22804_780_58887_10_928,x15642_822_5198_7_484
x21630_764_55668_10_29,x31750_634_61382_13_623,x11249_814_54463_5_699
x18438_668_58271_8_65,x22268_1093_9823_10_598,x36911_1133_68741_14_983
x3862_580_3978_3_26,x4860_546_35343_3_581,x3209_438_29793_2_975
x26004_775_54372_12_229,x40713_858_79187_16_592,x21104_667_51515_9_991
x67_347_01414_0_66,x23260_532_50935_11_213,x19452_766_57545_9_157
x17930_681_49354_8_474,x23773_816_58652_11_512,x23416_924_44426_11_312
x28727_950_53237_12_919,x27953_622_57686_12_709,x22268_1093_9823_10_598
x21182_754_57447_10_022,x27910_716_55909_12_685,x37575_1016_69083_15_218
x31602_822_68155_13_595,x29010_632_59734_12_997,x20375_572_50364_9_623
x30313_614_58869_13_294,x4603_428_37317_3_509,x25672_720_59057_12_099
x18747_680_58244_8_796,x31752_616_60362_13_621,x14979_878_56967_7_284
x19191_1318_01649_9_02,x19970_750_54977_9_407,x2475_554_3473_2_439
x16665_764_55968_8_013,x25148_688_52796_11_954,x2022_676_4205_2_052
x17509_764_55938_8_305,x7773_524_40783_4_468,x14474_640_55096_7_072
x21196_689_49648_10_007,x30556_650_6087_13_352,x21835_814_57089_10_382
x25098_804_5946_11_941,x29160_618_58231_13_036,x10240_1139_59535_5_363
x39657_836_80852_16_068,x23919_766_53723_11_563,x35308_892_73619_14_462
x27746_586_55698_12_658,x34772_648_7388_14_298,x39470_925_80361_15_957
x23499_836_6164_11_348,x17026_731_53528_8_146,
x2601_401_34489_2_466,x30257_695_55899_13_286,
x25245_744_59078_11_999,x38690_910_8219_15_662,
,x30287_848_65893_13_29,
,x19662_682_59798_9_245,
,x40828_884_80748_16_617,
,x28474_866_66505_12_86,
,x20695_534_48856_9_8,
,x23839_960_65237_11_539,
,x33723_630_61906_14_068,
,x27311_852_64963_12_553,
,x27604_822_63483_12_635,
,x11971_465_3365_6_009,
,x18859_696_5408_8_846,
,x11174_708_4958_5_756,
,x28298_846_63435_12_802,
