all_500,coralonly_500
x19344_800_60417_9_097,x22863_768_59077_10_971
x22863_768_59077_10_971,x3156_482_36064_2_937
x3156_482_36064_2_937,x19279_643_51751_9_054
x19279_643_51751_9_054,x6124_510_39212_3_959
x6124_510_39212_3_959,x23789_794_60652_11_52
x23789_794_60652_11_52,x24987_796_62223_11_912
x24253_770_60636_11_681,x26021_752_55957_12_218
x28291_824_65392_12_805,x22281_518_49367_10_602
x26753_788_61732_12_415,x23174_724_5283_11_167
x23921_520_50907_11_562,x19255_518_49318_9_043
x2650_676_42073_2_596,x22257_558_48585_10_595
x1683_391_26322_1_789,x24838_770_60774_11_835
x5181_648_22186_3_686,x3140_504_34195_2_931
,x21481_743_57811_10_286
,x19261_1286_02582_9_046
,x26387_806_61119_12_325
,x6689_344_35256_4_145
,x31046_620_59826_13_466
,x30258_690_60437_13_288
,x23028_752_59618_11_083
,x21104_667_51515_9_991
,x24082_750_54463_11_628
,x29160_618_58231_13_036
,x34772_648_7388_14_298
,x6270_488_31164_4_015
,x17026_731_53528_8_146
,x21089_682_59818_10_006
,x4177_524_37207_3_374
,x28474_866_66505_12_86
,x5847_508_37732_3_864
,x15427_747_52933_7_566
,x46_234_12364_0_643
,x20915_662_53175_9_914
,x2695_572_37207_2_621
,x13931_638_53599_6_821
,x21489_530_49376_10_208
,x11174_708_4958_5_756
,x21817_804_58699_10_362
,x15214_800_50547_7_387
,x2601_401_34489_2_466
,x24266_681_50699_11_696
,x15248_654_56589_7_434
