,metabolite,importance_mean,importance_std,feature_set,model
0,x22863_768_59077_10_971,0.0,0.0,coral_only_pruned_rf,RandomForest
1,x3156_482_36064_2_937,0.0,0.0,coral_only_pruned_rf,RandomForest
2,x20449_766_57519_9_667,0.0,0.0,coral_only_pruned_rf,RandomForest
3,x23789_794_60652_11_52,0.0,0.0,coral_only_pruned_rf,RandomForest
4,x24987_796_62223_11_912,0.0,0.0,coral_only_pruned_rf,RandomForest
5,x26021_752_55957_12_218,0.0,0.0,coral_only_pruned_rf,RandomForest
6,x26056_772_62178_12_23,0.0,0.0,coral_only_pruned_rf,RandomForest
7,x6230_466_32962_3_999,0.0,0.0,coral_only_pruned_rf,RandomForest
8,x25734_822_63619_12_121,0.0,0.0,coral_only_pruned_rf,RandomForest
9,x3140_504_34195_2_931,0.0,0.0,coral_only_pruned_rf,RandomForest
10,x24359_782_60661_11_724,0.0,0.0,coral_only_pruned_rf,RandomForest
11,x26387_806_61119_12_325,0.0,0.0,coral_only_pruned_rf,RandomForest
12,x20473_788_55523_9_685,0.0,0.0,coral_only_pruned_rf,RandomForest
13,x21104_667_51515_9_991,0.00672514619883043,0.0037101103919443164,coral_only_pruned_rf,RandomForest
14,x22804_780_58887_10_928,0.0,0.0,coral_only_pruned_rf,RandomForest
15,x4860_546_35343_3_581,0.0,0.0,coral_only_pruned_rf,RandomForest
16,x11988_492_34809_6_02,0.0,0.0,coral_only_pruned_rf,RandomForest
17,x27910_716_55909_12_685,0.0,0.0,coral_only_pruned_rf,RandomForest
18,x14474_640_55096_7_072,0.0,0.0,coral_only_pruned_rf,RandomForest
19,x29010_632_59734_12_997,0.008187134502924001,0.002188103734955528,coral_only_pruned_rf,RandomForest
20,x4603_428_37317_3_509,0.0,0.0,coral_only_pruned_rf,RandomForest
21,x25740_808_62031_12_113,0.0,0.0,coral_only_pruned_rf,RandomForest
22,x26054_774_54083_12_234,0.0,0.0,coral_only_pruned_rf,RandomForest
23,x3523_508_37638_3_101,0.0052631578947368585,0.004297350425935413,coral_only_pruned_rf,RandomForest
24,x34772_648_7388_14_298,0.052923976608187144,0.015932318977573426,coral_only_pruned_rf,RandomForest
25,x19872_828_55032_9_343,0.0,0.0,coral_only_pruned_rf,RandomForest
26,x26370_829_68761_12_322,0.0,0.0,coral_only_pruned_rf,RandomForest
27,x6270_488_31164_4_015,0.0,0.0,coral_only_pruned_rf,RandomForest
28,x17460_1195_91181_8_298,0.0,0.0,coral_only_pruned_rf,RandomForest
29,x4177_524_37207_3_374,0.0026315789473684292,0.004019803241189347,coral_only_pruned_rf,RandomForest
30,x20959_830_56547_9_927,0.0,0.0,coral_only_pruned_rf,RandomForest
31,x31765_656_59464_13_624,0.0,0.0,coral_only_pruned_rf,RandomForest
32,x23839_960_65237_11_539,0.011695906432748574,0.005699879733806429,coral_only_pruned_rf,RandomForest
33,x21630_764_55668_10_29,0.006432748538011716,0.0038790933220531113,coral_only_pruned_rf,RandomForest
34,x18438_668_58271_8_65,0.0,0.0,coral_only_pruned_rf,RandomForest
35,x3862_580_3978_3_26,0.0,0.0,coral_only_pruned_rf,RandomForest
36,x26004_775_54372_12_229,0.0,0.0,coral_only_pruned_rf,RandomForest
37,x67_347_01414_0_66,0.0,0.0,coral_only_pruned_rf,RandomForest
38,x17930_681_49354_8_474,0.0,0.0,coral_only_pruned_rf,RandomForest
39,x28727_950_53237_12_919,0.002339181286549715,0.0038790933220531113,coral_only_pruned_rf,RandomForest
40,x21182_754_57447_10_022,0.0,0.0,coral_only_pruned_rf,RandomForest
41,x31602_822_68155_13_595,0.005555555555555573,0.004227143945848248,coral_only_pruned_rf,RandomForest
42,x30313_614_58869_13_294,0.00877192982456143,0.005064476045523049,coral_only_pruned_rf,RandomForest
43,x18747_680_58244_8_796,0.0,0.0,coral_only_pruned_rf,RandomForest
44,x19191_1318_01649_9_02,0.0,0.0,coral_only_pruned_rf,RandomForest
45,x16665_764_55968_8_013,0.0,0.0,coral_only_pruned_rf,RandomForest
46,x17509_764_55938_8_305,0.0,0.0,coral_only_pruned_rf,RandomForest
47,x21196_689_49648_10_007,0.0,0.0,coral_only_pruned_rf,RandomForest
48,x25098_804_5946_11_941,0.0,0.0,coral_only_pruned_rf,RandomForest
49,x39657_836_80852_16_068,0.0,0.0,coral_only_pruned_rf,RandomForest
50,x27746_586_55698_12_658,0.002339181286549715,0.0038790933220531113,coral_only_pruned_rf,RandomForest
51,x23499_836_6164_11_348,0.0,0.0,coral_only_pruned_rf,RandomForest
52,x2601_401_34489_2_466,0.0,0.0,coral_only_pruned_rf,RandomForest
53,x25245_744_59078_11_999,0.0,0.0,coral_only_pruned_rf,RandomForest
54,x22863_768_59077_10_971,0.0,0.0,coral_only_pruned_rf,XGBoost
55,x3156_482_36064_2_937,0.0,0.0,coral_only_pruned_rf,XGBoost
56,x20449_766_57519_9_667,0.0,0.0,coral_only_pruned_rf,XGBoost
57,x23789_794_60652_11_52,0.0,0.0,coral_only_pruned_rf,XGBoost
58,x24987_796_62223_11_912,0.0,0.0,coral_only_pruned_rf,XGBoost
59,x26021_752_55957_12_218,0.0,0.0,coral_only_pruned_rf,XGBoost
60,x26056_772_62178_12_23,0.0,0.0,coral_only_pruned_rf,XGBoost
61,x6230_466_32962_3_999,0.0,0.0,coral_only_pruned_rf,XGBoost
62,x25734_822_63619_12_121,0.0,0.0,coral_only_pruned_rf,XGBoost
63,x3140_504_34195_2_931,0.0,0.0,coral_only_pruned_rf,XGBoost
64,x24359_782_60661_11_724,0.0,0.0,coral_only_pruned_rf,XGBoost
65,x26387_806_61119_12_325,0.0,0.0,coral_only_pruned_rf,XGBoost
66,x20473_788_55523_9_685,0.0,0.0,coral_only_pruned_rf,XGBoost
67,x21104_667_51515_9_991,0.0,0.0,coral_only_pruned_rf,XGBoost
68,x22804_780_58887_10_928,0.0,0.0,coral_only_pruned_rf,XGBoost
69,x4860_546_35343_3_581,0.0,0.0,coral_only_pruned_rf,XGBoost
70,x11988_492_34809_6_02,0.0,0.0,coral_only_pruned_rf,XGBoost
71,x27910_716_55909_12_685,0.0,0.0,coral_only_pruned_rf,XGBoost
72,x14474_640_55096_7_072,0.0,0.0,coral_only_pruned_rf,XGBoost
73,x29010_632_59734_12_997,0.0052631578947368585,0.004297350425935413,coral_only_pruned_rf,XGBoost
74,x4603_428_37317_3_509,0.0,0.0,coral_only_pruned_rf,XGBoost
75,x25740_808_62031_12_113,0.0,0.0,coral_only_pruned_rf,XGBoost
76,x26054_774_54083_12_234,0.0,0.0,coral_only_pruned_rf,XGBoost
77,x3523_508_37638_3_101,0.010526315789473684,0.005263157894736814,coral_only_pruned_rf,XGBoost
78,x34772_648_7388_14_298,0.3552631578947368,0.048085859907599116,coral_only_pruned_rf,XGBoost
79,x19872_828_55032_9_343,0.0,0.0,coral_only_pruned_rf,XGBoost
80,x26370_829_68761_12_322,0.0,0.0,coral_only_pruned_rf,XGBoost
81,x6270_488_31164_4_015,0.0,0.0,coral_only_pruned_rf,XGBoost
82,x17460_1195_91181_8_298,0.0,0.0,coral_only_pruned_rf,XGBoost
83,x4177_524_37207_3_374,0.0,0.0,coral_only_pruned_rf,XGBoost
84,x20959_830_56547_9_927,0.0,0.0,coral_only_pruned_rf,XGBoost
85,x31765_656_59464_13_624,0.0,0.0,coral_only_pruned_rf,XGBoost
86,x23839_960_65237_11_539,0.011988304093567237,0.008002299522458461,coral_only_pruned_rf,XGBoost
87,x21630_764_55668_10_29,0.0,0.0,coral_only_pruned_rf,XGBoost
88,x18438_668_58271_8_65,0.0,0.0,coral_only_pruned_rf,XGBoost
89,x3862_580_3978_3_26,0.0,0.0,coral_only_pruned_rf,XGBoost
90,x26004_775_54372_12_229,0.0,0.0,coral_only_pruned_rf,XGBoost
91,x67_347_01414_0_66,0.0,0.0,coral_only_pruned_rf,XGBoost
92,x17930_681_49354_8_474,-0.0017543859649122862,0.0035087719298245723,coral_only_pruned_rf,XGBoost
93,x28727_950_53237_12_919,0.006725146198830412,0.006278044021515744,coral_only_pruned_rf,XGBoost
94,x21182_754_57447_10_022,0.0,0.0,coral_only_pruned_rf,XGBoost
95,x31602_822_68155_13_595,0.0,0.0,coral_only_pruned_rf,XGBoost
96,x30313_614_58869_13_294,0.0,0.0,coral_only_pruned_rf,XGBoost
97,x18747_680_58244_8_796,0.0,0.0,coral_only_pruned_rf,XGBoost
98,x19191_1318_01649_9_02,0.0,0.0,coral_only_pruned_rf,XGBoost
99,x16665_764_55968_8_013,0.0,0.0,coral_only_pruned_rf,XGBoost
100,x17509_764_55938_8_305,0.0,0.0,coral_only_pruned_rf,XGBoost
101,x21196_689_49648_10_007,0.0,0.0,coral_only_pruned_rf,XGBoost
102,x25098_804_5946_11_941,0.0,0.0,coral_only_pruned_rf,XGBoost
103,x39657_836_80852_16_068,0.0,0.0,coral_only_pruned_rf,XGBoost
104,x27746_586_55698_12_658,-0.0020467836257310004,0.0037101103919443164,coral_only_pruned_rf,XGBoost
105,x23499_836_6164_11_348,-0.007017543859649145,0.0035087719298245723,coral_only_pruned_rf,XGBoost
106,x2601_401_34489_2_466,0.0,0.0,coral_only_pruned_rf,XGBoost
107,x25245_744_59078_11_999,-0.0061403508771930015,0.004613957262590512,coral_only_pruned_rf,XGBoost
108,x22863_768_59077_10_971,0.0,0.0,coral_only_pruned_gb,RandomForest
109,x3156_482_36064_2_937,0.0,0.0,coral_only_pruned_gb,RandomForest
110,x19279_643_51751_9_054,0.0,0.0,coral_only_pruned_gb,RandomForest
111,x22902_794_60499_10_997,0.0,0.0,coral_only_pruned_gb,RandomForest
112,x26021_752_55957_12_218,0.0,0.0,coral_only_pruned_gb,RandomForest
113,x22281_518_49367_10_602,0.0,0.0,coral_only_pruned_gb,RandomForest
114,x26056_772_62178_12_23,0.0,0.0,coral_only_pruned_gb,RandomForest
115,x6230_466_32962_3_999,0.0,0.0,coral_only_pruned_gb,RandomForest
116,x25734_822_63619_12_121,0.0,0.0,coral_only_pruned_gb,RandomForest
117,x22257_558_48585_10_595,0.0,0.0,coral_only_pruned_gb,RandomForest
118,x27615_824_65407_12_621,0.0,0.0,coral_only_pruned_gb,RandomForest
