,metabolite,importance_mean,importance_std,feature_set,model
0,x19344_800_60417_9_097,0.03538011695906431,0.017171984631609388,All_KBest,RandomForest
1,x22863_768_59077_10_971,0.027485380116959043,0.00980295591476038,All_KBest,RandomForest
2,x3156_482_36064_2_937,0.021345029239766063,0.009524267529182645,All_KBest,RandomForest
3,x19279_643_51751_9_054,0.026608187134502904,0.010975628291885073,All_KBest,RandomForest
4,x6124_510_39212_3_959,0.01374269005847952,0.006278044021515727,All_KBest,RandomForest
5,x23789_794_60652_11_52,0.006140350877192979,0.007215767648685991,All_KBest,RandomForest
6,x24253_770_60636_11_681,0.02514619883040933,0.011263953382607154,All_KBest,RandomForest
7,x28291_824_65392_12_805,0.028070175438596467,0.013851133663540375,All_KBest,RandomForest
8,x26753_788_61732_12_415,0.0029239766081871252,0.009958705477149946,All_KBest,RandomForest
9,x23921_520_50907_11_562,0.0023391812865497076,0.0071383366173881375,All_KBest,RandomForest
10,x2650_676_42073_2_596,0.030701754385964886,0.010065447063192116,All_KBest,RandomForest
11,x1683_391_26322_1_789,0.021345029239766045,0.007402917486065603,All_KBest,RandomForest
12,x5181_648_22186_3_686,0.0,0.0,All_KBest,RandomForest
13,x19344_800_60417_9_097,0.038011695906432795,0.021166036340179946,All_KBest,XGBoost
14,x22863_768_59077_10_971,-0.013157894736842042,0.006305221828318082,All_KBest,XGBoost
15,x3156_482_36064_2_937,0.004385964912280738,0.00954220401876065,All_KBest,XGBoost
16,x19279_643_51751_9_054,0.02339181286549712,0.01327111779872539,All_KBest,XGBoost
17,x6124_510_39212_3_959,-0.005263157894736792,0.007373988428607284,All_KBest,XGBoost
18,x23789_794_60652_11_52,0.002339181286549737,0.007824028163894527,All_KBest,XGBoost
19,x24253_770_60636_11_681,-0.004678362573099385,0.009802955914760342,All_KBest,XGBoost
20,x28291_824_65392_12_805,0.002339181286549748,0.013949544376463814,All_KBest,XGBoost
21,x26753_788_61732_12_415,0.0020467836257310338,0.014797170677052624,All_KBest,XGBoost
22,x23921_520_50907_11_562,0.006432748538011723,0.007489034195827902,All_KBest,XGBoost
23,x2650_676_42073_2_596,0.009064327485380157,0.01458768384007768,All_KBest,XGBoost
24,x1683_391_26322_1_789,0.007894736842105307,0.014387034620049755,All_KBest,XGBoost
25,x5181_648_22186_3_686,0.0,0.0,All_KBest,XGBoost
26,x22863_768_59077_10_971,0.0,0.0,Host_KBest,RandomForest
27,x3156_482_36064_2_937,0.0,0.0,Host_KBest,RandomForest
28,x19279_643_51751_9_054,0.0,0.0,Host_KBest,RandomForest
29,x6124_510_39212_3_959,0.0,0.0,Host_KBest,RandomForest
30,x23789_794_60652_11_52,0.0,0.0,Host_KBest,RandomForest
31,x24987_796_62223_11_912,0.0,0.0,Host_KBest,RandomForest
32,x26021_752_55957_12_218,0.0026315789473684292,0.004019803241189347,Host_KBest,RandomForest
33,x22281_518_49367_10_602,0.0,0.0,Host_KBest,RandomForest
34,x23174_724_5283_11_167,0.0,0.0,Host_KBest,RandomForest
35,x19255_518_49318_9_043,0.0,0.0,Host_KBest,RandomForest
36,x22257_558_48585_10_595,0.0,0.0,Host_KBest,RandomForest
37,x24838_770_60774_11_835,0.0,0.0,Host_KBest,RandomForest
38,x3140_504_34195_2_931,0.0,0.0,Host_KBest,RandomForest
39,x21481_743_57811_10_286,0.0,0.0,Host_KBest,RandomForest
40,x19261_1286_02582_9_046,0.0,0.0,Host_KBest,RandomForest
41,x26387_806_61119_12_325,0.0,0.0,Host_KBest,RandomForest
42,x6689_344_35256_4_145,0.0,0.0,Host_KBest,RandomForest
43,x31046_620_59826_13_466,0.04210526315789475,0.010956136839295453,Host_KBest,RandomForest
44,x30258_690_60437_13_288,0.0,0.0,Host_KBest,RandomForest
45,x23028_752_59618_11_083,0.0,0.0,Host_KBest,RandomForest
46,x21104_667_51515_9_991,0.0,0.0,Host_KBest,RandomForest
47,x24082_750_54463_11_628,0.0017543859649122862,0.0035087719298245723,Host_KBest,RandomForest
48,x29160_618_58231_13_036,0.0,0.0,Host_KBest,RandomForest
49,x34772_648_7388_14_298,0.04619883040935672,0.013764447129754187,Host_KBest,RandomForest
50,x6270_488_31164_4_015,0.0,0.0,Host_KBest,RandomForest
51,x17026_731_53528_8_146,0.0,0.0,Host_KBest,RandomForest
52,x21089_682_59818_10_006,0.0,0.0,Host_KBest,RandomForest
53,x4177_524_37207_3_374,0.0,0.0,Host_KBest,RandomForest
54,x28474_866_66505_12_86,0.0,0.0,Host_KBest,RandomForest
55,x5847_508_37732_3_864,0.0,0.0,Host_KBest,RandomForest
56,x15427_747_52933_7_566,0.0,0.0,Host_KBest,RandomForest
57,x46_234_12364_0_643,0.0,0.0,Host_KBest,RandomForest
58,x20915_662_53175_9_914,0.0,0.0,Host_KBest,RandomForest
59,x2695_572_37207_2_621,0.0,0.0,Host_KBest,RandomForest
60,x13931_638_53599_6_821,0.0,0.0,Host_KBest,RandomForest
61,x21489_530_49376_10_208,0.0,0.0,Host_KBest,RandomForest
62,x11174_708_4958_5_756,0.0,0.0,Host_KBest,RandomForest
63,x21817_804_58699_10_362,0.0,0.0,Host_KBest,RandomForest
64,x15214_800_50547_7_387,0.007894736842105288,0.0072865121604544746,Host_KBest,RandomForest
65,x2601_401_34489_2_466,0.0,0.0,Host_KBest,RandomForest
